অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
কন্টিঞ্জেন্ট	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇ
কন্টিঞ্জেন্টকী	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯀꯤ
কন্টিঞ্জেন্টপুর	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯄꯨꯔ
কন্টিনজেন্টনি	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯅꯤ
কন্টিনজেন্টশিংগী	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯁꯤꯡꯒꯤ
কন্টিনজেন্টশিংবু	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯁꯤꯡꯕꯨ
কন্টিনু্যজ	ꯀꯟꯇꯤꯅꯨꯢꯖ
কন্টিনু্যতি	ꯀꯟꯇꯤꯅꯨꯢꯇꯤ
কন্টেক	ꯀꯟꯇꯦꯛ
কন্টেক্ট	ꯀꯟꯇꯦꯛ꯭ꯇ
কন্টেজ	ꯀꯟꯇꯦꯖ
কন্টেন্ট	ꯀꯟꯇꯦꯟ꯭ꯇ
কন্টেন্নর	ꯀꯟꯇꯦꯟꯅꯔ
কন্টেন্নরশিং	ꯀꯟꯇꯦꯟꯅꯔꯁꯤꯡ
কন্টেষ্ট	ꯀꯟꯇꯦꯁ꯭ꯇ
কন্টেষ্টসু	ꯀꯟꯇꯦꯁ꯭ꯇꯁꯨ
কন্টোনমেন্টতা	ꯀꯟꯇꯣꯟꯃꯦꯟ꯭ꯇꯇꯥ
কন্টোলমেন্টকী	ꯀꯟꯇꯣꯜꯃꯦꯟ꯭ꯇꯀꯤ
কন্টোলমেন্টতা	ꯀꯟꯇꯣꯜꯃꯦꯟ꯭ꯇꯇꯥ
কন্ট্রেক	ꯀꯟꯇ꯭ꯔꯦꯛ
কন্ট্রেক্ট	ꯀꯟꯇ꯭ꯔꯦꯛ꯭ꯇ
কন্ট্রেক্তা	ꯀꯟꯇ꯭ꯔꯦꯛꯇꯥ
কন্তামিনেট	ꯀꯟꯇꯥꯃꯤꯅꯦꯠ
কন্তিজেন্ট	ꯀꯟꯇꯤꯖꯦꯟ꯭ꯇ
কন্তিজেন্টকী	ꯀꯟꯇꯤꯖꯦꯟ꯭ꯇꯀꯤ
কন্তিজেন্টশিংগী	ꯀꯟꯇꯤꯖꯦꯟ꯭ꯇꯁꯤꯡꯒꯤ
কন্তিঞ্জেন্ট	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇ
কন্তিঞ্জেন্টকা	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯀꯥ
কন্তিঞ্জেন্টতা	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯇꯥ
কন্তিঞ্জেন্টশিংগী	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯁꯤꯡꯒꯤ
কন্তিনজেন্ট	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇ
কন্তিনজেন্টনি	ꯀꯟꯇꯤꯟꯖꯦꯟ꯭ꯇꯅꯤ
কন্তেক	ꯀꯟꯇꯦꯛ
কন্তেক্ট	ꯀꯟꯇꯦꯛ꯭ꯇ
কন্তেনমেন্ট	ꯀꯟ꯭ꯇꯦꯟꯃꯦꯟ꯭ꯇ
কন্তেনমেন্টকী	ꯀꯟꯇꯦꯟꯃꯦꯟ꯭ꯇꯀꯤ
কন্তেন্টমেন্ট	ꯀꯟꯇꯦꯟ꯭ꯇꯃꯦꯟ꯭ꯇ
কন্তেন্নরশিং	ꯀꯟꯇꯦꯟꯅꯔꯁꯤꯡ
কন্তেন্নরশিংসু	ꯀꯟꯇꯦꯟꯅꯔꯁꯤꯡꯁꯨ
কন্তেমপোরেরি	ꯀꯟꯇꯦꯝꯄꯣꯔꯦꯔꯤ
কন্তেষ্ট	ꯀꯟꯇꯦꯁ꯭ꯇ
কন্তোলমেন্টকী	ꯀꯟꯇꯣꯜꯃꯦꯟ꯭ꯇꯀꯤ
কন্ত্রি	ꯀꯟꯇ꯭ꯔꯤ
কন্ত্রিগী	ꯀꯟꯇ꯭ꯔꯤꯒꯤ
কন্ত্রিজ	ꯀꯟꯇ꯭ꯔꯤꯖ
কন্ত্রিবু্যতিং	ꯀꯟꯇ꯭ꯔꯤꯕꯨꯢꯇꯤꯡ
কন্ত্রেক	ꯀꯟꯇ꯭ꯔꯦꯛ
কন্ত্রেক্ট	ꯀꯟꯇ꯭ꯔꯦꯛ꯭ꯇ
কন্ত্রেক্টতা	ꯀꯟꯇ꯭ꯔꯦꯛ꯭ꯇꯇꯥ
কন্ত্রেক্তরশিংদা	ꯀꯟꯇ꯭ꯔꯦꯛꯇꯔꯁꯤꯡꯗꯥ
কন্ত্রেক্তরশিংন	ꯀꯟꯇ꯭ꯔꯦꯛꯇꯔꯁꯤꯡꯅ
কন্ত্রেল	ꯀꯟꯇ꯭ꯔꯦꯜ
কন্ত্রোল	ꯀꯟꯇ꯭ꯔꯣꯜ
কন্ত্রোলগী	ꯀꯟꯇ꯭ꯔꯣꯜꯒꯤ
কন্ত্রোলদা	ꯀꯟꯇ꯭ꯔꯣꯜꯗꯥ
কন্ত্রোলর	ꯀꯟꯇ꯭ꯔꯣꯂꯔ
কন্ত্রোলরুমগী	ꯀꯟꯇ꯭ꯔꯣꯜꯔꯨꯝꯒꯤ
কন্ত্রোলরুমদা	ꯀꯟꯇ꯭ꯔꯣꯜꯔꯨꯝꯗꯥ
কন্ত্রোলরুমনা	ꯀꯟꯇ꯭ꯔꯣꯜꯔꯨꯝꯅꯥ
কন্ত্রোলরুম্না	ꯀꯟꯇ꯭ꯔꯣꯜꯔꯨꯝꯅꯥ
কন্ত্রোল্লর	ꯀꯟꯇ꯭ꯔꯣꯜꯂꯔ
কন্ত্রোল্লরনা	ꯀꯟꯇ꯭ꯔꯣꯜꯂꯔꯅꯥ
কন্ত্রোল্লরশিংদসু	ꯀꯟꯇ꯭ꯔꯣꯜꯂꯔꯁꯤꯡꯗꯁꯨ
কন্ত্রোল্লিং	ꯀꯟꯇ꯭ꯔꯣꯜꯂꯤꯡ
কন্দক্ট	ꯀꯟꯗꯛ꯭ꯇ
কন্দক্টকী	ꯀꯟꯗꯛ꯭ꯇꯀꯤ
কন্দক্তর	ꯀꯟꯗꯛꯇꯔ
কন্দাহারদগীনি	ꯀꯟꯗꯥꯍꯥꯔꯗꯒꯤꯅꯤ
কন্দিসন	ꯀꯟꯗꯤꯁꯟ
কন্দিসন্স	ꯀꯟꯗꯤꯁꯟ꯭ꯁ
কন্দোলেন্স	ꯀꯟꯗꯣꯂꯦꯟ꯭ꯁ
কন্দ্রবদি	ꯀꯟꯗ꯭ꯔꯕꯗꯤ
কন্দ্রবসু	ꯀꯟꯗ꯭ꯔꯕꯁꯨ
কন্ধারদগীনি	ꯀꯟꯙꯥꯔꯗꯒꯤꯅꯤ
কন্ননবগী	ꯀꯟꯅꯅꯕꯒꯤ
কন্ননবগীদমক	ꯀꯟꯅꯅꯕꯒꯤꯗꯃꯛ
কন্ননবগীদমক্তনি	ꯀꯟꯅꯅꯕꯒꯤꯗꯃꯛꯇꯅꯤ
কন্ননবনি	ꯀꯟꯅꯅꯕꯅꯤ
কন্ননবা	ꯀꯟꯅꯅꯕꯥ
কন্ননা	ꯀꯟꯅꯅꯥ
কন্নবগী	ꯀꯟꯅꯕꯒꯤ
কন্নবগীদমক	ꯀꯟꯅꯕꯒꯤꯗꯃꯛ
কন্নবগীদমক্তা	ꯀꯟꯅꯕꯒꯤꯗꯃꯛꯇꯥ
কন্নবগীনি	ꯀꯟꯅꯕꯒꯤꯅꯤ
কন্নবনি	ꯀꯟꯅꯕꯅꯤ
কন্নবা	ꯀꯟꯅꯕꯥ
কন্না	ꯀꯟꯅꯥ
কন্নাগুম্বনা	ꯀꯟꯅꯥꯒꯨꯝꯕꯅꯥ
কন্নাগুম্বশিংনা	ꯀꯟꯅꯥꯒꯨꯝꯕꯁꯤꯡꯅꯥ
কন্নাগুম্বা	ꯀꯟꯅꯥꯒꯨꯝꯕꯥ
কন্নাদগী	ꯀꯟꯅꯥꯗꯒꯤ
কন্নানা	ꯀꯟꯅꯥꯅꯥ
কন্নেকতিভিতি	ꯀꯟꯅꯦꯛꯇꯤꯚꯤꯇꯤ
কন্নেক্ট	ꯀꯟꯅꯦꯛ꯭ꯇ
কন্নেক্তিং	ꯀꯟꯅꯦꯛꯇꯤꯡ
কন্নেক্তিবিতিগী	ꯀꯟꯅꯦꯛꯇꯤꯕꯤꯇꯤꯒꯤ
কন্নেক্তিভিতি	ꯀꯟꯅꯦꯛꯇꯤꯚꯤꯇꯤ
কন্নেক্তিভিতিগী	ꯀꯟꯅꯦꯛꯇꯤꯚꯤꯇꯤꯒꯤ
কন্নেক্তিভিতিদা	ꯀꯟꯅꯦꯛꯇꯤꯚꯤꯇꯤꯗꯥ
কন্নেক্সন	ꯀꯟꯅꯦꯛꯁꯟ
কন্নেক্সনশিং	ꯀꯟꯅꯦꯛꯁꯟꯁꯤꯡ
কন্যকুমারি	ꯀꯅ꯭ꯌꯀꯨꯃꯥꯔꯤ
কন্যকুমারিদা	ꯀꯅ꯭ꯌꯀꯨꯃꯥꯔꯤꯗꯥ
কন্যা	ꯀꯟꯅ꯭ꯌꯥ
কন্যাকা	ꯀꯅ꯭ꯌꯥꯀꯥ
কন্যাকুমারি	ꯀꯅ꯭ꯌꯥꯀꯨꯃꯥꯔꯤ
কন্যাকুমারিদা	ꯀꯅꯌꯥꯀꯨꯃꯥꯔꯤꯗꯥ
কন্সটিটু্রয়েন্সিশিং	ꯀꯟ꯭ꯁꯇꯤꯇꯨꯔꯌꯦꯟꯁꯤꯁꯤꯡ
কন্সটিটুয়েন্সিশিংদা	ꯀꯟ꯭ꯁꯇꯤꯇꯨꯌꯦꯟꯁꯤꯁꯤꯡꯗꯥ
কন্সটিট্যুন্সি	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯟꯁꯤ
কন্সটিট্যুসন	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯁꯟ
কন্সটিট্যুসনগী	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯁꯟꯒꯤ
কন্সটিট্যুসননি	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯁꯟꯅꯤ
কন্সটিট্যুসনেল	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯁꯅꯦꯜ
কন্সটিট্যুয়েন্ট	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟ꯭ꯇ
কন্সটিট্যুয়েন্সি	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤ
কন্সটিট্যুয়েন্সিগী	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯒꯤ
কন্সটিট্যুয়েন্সিদগী	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯗꯒꯤ
কন্সটিট্যুয়েন্সিদা	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯗꯥ
কন্সটিট্যুয়েন্সিনা	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯅꯥ
কন্সটিট্যুয়েন্সিশিং	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯁꯤꯡ
কন্সটিট্যুয়েন্সিশিংগী	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤꯁꯤꯡꯒꯤ
কন্সটেবল	ꯀꯟ꯭ꯁꯇꯦꯕꯜ
কন্সটেবলগী	ꯀꯟ꯭ꯁꯇꯦꯕꯜꯒꯤ
কন্সট্রক্সন	ꯀꯟ꯭ꯁꯇ꯭ꯔꯛꯁꯟ
কন্সট্রক্সনদা	ꯀꯟ꯭ꯁꯇ꯭ꯔꯛꯁꯟꯗꯥ
কন্সত্রক্সন	ꯀꯟ꯭ꯁꯇ꯭ꯔꯛꯁꯟ
কন্সরট	ꯀꯟꯁꯔꯠ
কন্সর্টনচিংবা	ꯀꯟꯁꯔ꯭ꯇꯅꯆꯤꯡꯕꯥ
কন্সলটেটিব	ꯀꯟꯁꯜꯇꯦꯇꯤꯕ
কন্সলটেন্ট	ꯀꯟꯁꯜꯇꯦꯟ꯭ꯇ
কন্সলটেসন	ꯀꯟꯁꯜꯇꯦꯁꯟ
কন্সলতেতিব	ꯀꯟꯁꯜꯇꯦꯇꯤꯕ
কন্সলতেতিবকী	ꯀꯟꯁꯜꯇꯦꯇꯤꯕꯀꯤ
কন্সলতেন্সি	ꯀꯟꯁꯜꯇꯦꯟꯁꯤ
কন্সলতেসন	ꯀꯟꯁꯜꯇꯦꯁꯟ
কন্সলতেসনগী	ꯀꯟꯁꯜꯇꯦꯁꯟꯒꯤ
কন্সল্ট	ꯀꯟꯁꯜ꯭ꯇ
কন্সল্টনা	ꯀꯟꯁꯜ꯭ꯇꯅꯥ
কন্সাইনমেন্ট	ꯀꯟꯁꯥꯢꯟꯃꯦꯟ꯭ꯇ
কন্সাইনি	ꯀꯟꯁꯥꯢꯅꯤ
কন্সাইমেট	ꯀꯟꯁꯥꯢꯃꯦꯠ
কন্সাইমেন্ট	ꯀꯟꯁꯥꯢꯃꯦꯟ꯭ꯇ
কন্সিলিয়েসন	ꯀꯟꯁꯤꯂꯤꯌꯦꯁꯟ
কন্সিয়সনেস	ꯀꯟꯁꯤꯌꯁꯅꯦꯁ
কন্সুলেটকা	ꯀꯟꯁꯨꯂꯦꯠꯀꯥ
কন্সেট্রেটর	ꯀꯟꯁꯦꯇ꯭ꯔꯦꯇꯔ
কন্সেত্রেটরশিং	ꯀꯟꯁꯦꯇ꯭ꯔꯦꯇꯔꯁꯤꯡ
কন্সেনট্রেটর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেনট্রেটরশিং	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔꯁꯤꯡ
কন্সেনত্রেটর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেনত্রেতর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেন্ট্রেটর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেন্ট্রেতর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেন্ট্রেতরশিং	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔꯁꯤꯡ
কন্সেন্ত্রেটর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেন্ত্রেতর	ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔ
কন্সেন্সস	ꯀꯟꯁꯦꯟ꯭ꯁꯁ
কন্সেলট্রেটর	ꯀꯟꯁꯦꯜꯇ꯭ꯔꯦꯇꯔ
কন্সোরতিয়ম	ꯀꯟꯁꯣꯔꯇꯤꯌꯝ
কন্সোলিদেসন	ꯀꯟꯁꯣꯂꯤꯗꯦꯁꯟ
কন্সোলেসন	ꯀꯟꯁꯣꯂꯦꯁꯟ
কপ	ꯀꯞ
কপকী	ꯀꯞꯀꯤ
কপকীদমক	ꯀꯞꯀꯤꯗꯃꯛ
কপগী	ꯀꯞꯒꯤ
কপতা	ꯀꯞꯇꯥ
কপাংগ্রিং	ꯀꯄꯥꯡꯒ꯭ꯔꯤꯡ
কপাংথোকখিবা	ꯀꯄꯥꯡꯊꯣꯛꯈꯤꯕꯥ
কপাংরিং	ꯀꯄꯥꯡꯔꯤꯡ
কপাংরিংনা	ꯀꯄꯥꯡꯔꯤꯡꯅꯥ
কপাখি	ꯀꯄꯥꯈꯤ
কপাম	ꯀꯄꯥꯝ
কপিল	ꯀꯄꯤꯜ
কপ্তা	ꯀꯞꯇꯥ
কপ্তুনা	ꯀꯞꯇꯨꯅꯥ
কফোই	ꯀꯐꯣꯢ
কফোইবুদি	ꯀꯐꯣꯢꯕꯨꯗꯤ
কব	ꯀꯕ
কবচ	ꯀꯕꯆ
কবচগুম্বনি	ꯀꯕꯆꯒꯨꯝꯕꯅꯤ
কবচনি	ꯀꯕꯆꯅꯤ
কবারাতি	ꯀꯕꯥꯔꯥꯇꯤ
কবাসুরা	ꯀꯕꯥꯁꯨꯔꯥ
কবি	ꯀꯕꯤ
কবিতা	ꯀꯕꯤꯇꯥ
কবির	ꯀꯕꯤꯔ
কবিরদাস	ꯀꯕꯤꯔꯗꯥꯁ
কবীশিং	ꯀꯕꯤꯁꯤꯡ
কবুই	ꯀꯕꯨꯢ
কবুল	ꯀꯕꯨꯜ
কবো	ꯀꯕꯣ
কবোক	ꯀꯕꯣꯛ
কবোকৈগী	ꯀꯕꯣꯀꯩꯒꯤ
কবোকৈনচিংবা	ꯀꯕꯣꯀꯩꯅꯆꯤꯡꯕꯥ
কবোৱাকচিং	ꯀꯕꯣꯋꯥꯛꯆꯤꯡ
কবোৱাকচিংবু	ꯀꯕꯣꯋꯥꯛꯆꯤꯡꯕꯨ
কভরেজ	ꯀꯚꯔꯦꯖ
কভিন্নর	ꯀꯚꯤꯟꯅꯔ
কম	ꯀꯝ
কমত্রোল্লর	ꯀꯝꯇ꯭ꯔꯣꯜꯂꯔ
কমদৌনা	ꯀꯝꯗꯧꯅꯥ
কমদৌবগে	ꯀꯝꯗꯧꯕꯒꯦ
কমদৌবী	ꯀꯝꯗꯧꯕꯤ
কমন	ꯀꯃꯟ
কমপার্টমেন্টেল	ꯀꯝꯄꯥꯔ꯭ꯇꯃꯦꯟꯇꯦꯜ
কমপার্টমেন্তেল	ꯀꯝꯄꯥꯔ꯭ꯇꯃꯦꯟꯇꯦꯜ
কমপেনসেসন	ꯀꯝꯄꯦꯟꯁꯦꯁꯟ
কমপেনসেসনগী	ꯀꯝꯄꯦꯟꯁꯦꯁꯟꯒꯤ
কমপেন্সেনগী	ꯀꯝꯄꯦꯟꯁꯦꯟꯒꯤ
কমপেন্সেসন	ꯀꯝꯄꯦꯟꯁꯦꯁꯟ
কমপেন্সেসনগী	ꯀꯝꯄꯦꯟꯁꯦꯁꯟꯒꯤ
কমপোজিট	ꯀꯝꯄꯣꯖꯤꯠ
কমপ্রিহেনসিব	ꯀꯝꯄ꯭ꯔꯤꯍꯦꯟꯁꯤꯕ
কমপ্রিহেন্সিপ	ꯀꯝꯄ꯭ꯔꯤꯍꯦꯟꯁꯤꯞ
কমপ্রিহেন্সিভ	ꯀꯝꯄ꯭ꯔꯤꯍꯦꯟꯁꯤꯚ
কমপ্রেচর	ꯀꯝꯄ꯭ꯔꯦꯆꯔ
কমপ্রেহেন্সিপ	ꯀꯝꯄ꯭ꯔꯦꯍꯦꯟꯁꯤꯞ
কমপ্রোমাইজ	ꯀꯝꯄ꯭ꯔꯣꯃꯥꯢꯖ
কমপ্লিট	ꯀꯝꯄ꯭ꯂꯤꯠ
কমপ্লিত	ꯀꯝꯄ꯭ꯂꯤꯠ
কমপ্লিসন	ꯀꯝꯄ꯭ꯂꯤꯁꯟ
কমপ্লিৎ	ꯀꯝꯄ꯭ꯂꯤꯠ
কমপ্লেক্স	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁ
কমপ্লেক্সকী	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯀꯤ
কমপ্লেক্সতগী	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯇꯒꯤ
কমপ্লেক্সতসু	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯇꯁꯨ
কমপ্লেক্সতা	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯇꯥ
কমপ্লেক্সদগী	ꯀꯃꯄ꯭ꯂꯦꯛ꯭ꯁꯗꯒꯤ
কমপ্লেক্সদা	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯗꯥ
কমপ্লেক্সপু	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯄꯨ
কমপ্লেক্সশিং	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯁꯤꯡ
কমপ্লেক্সসু	ꯀꯝꯄ꯭ꯂꯦꯛ꯭ꯁꯁꯨ
কমপ্লেন	ꯀꯝꯄ꯭ꯂꯦꯟ
কমপ্লেনেন্ট	ꯀꯝꯄ꯭ꯂꯦꯅꯦꯟ꯭ꯇ
কমপ্লেন্ট	ꯀꯝꯄ꯭ꯂꯦꯟ꯭ꯇ
কমফোর্স	ꯀꯝꯐꯣꯔ꯭ꯁ
কমল	ꯀꯃꯜ
কমলজিৎ	ꯀꯃꯜꯖꯤꯠ
কমলপ্রিট	ꯀꯃꯜꯄ꯭ꯔꯤꯠ
কমলা	ꯀꯝꯂꯥ
কমলাথাবীদা	ꯀꯝꯂꯥꯊꯥꯕꯤꯗꯥ
কমলানচিংবগী	ꯀꯝꯂꯥꯅꯆꯤꯡꯕꯒꯤ
কমাই	ꯀꯃꯥꯢ
কমাখ্যা	ꯀꯃꯥꯈ꯭ꯌꯥ
কমান্দেন্ট	ꯀꯃꯥꯟꯗꯦꯟ꯭ꯇ
কমান্দোগী	ꯀꯃꯥꯟꯗꯣꯒꯤ
কমান্দোনা	ꯀꯃꯥꯟꯗꯣꯅꯥ
কমালা	ꯀꯃꯥꯂꯥ
কমালামাবু	ꯀꯃꯥꯂꯥꯃꯥꯕꯨ
কমিতি	ꯀꯃꯤꯇꯤ
কমিতিগা	ꯀꯃꯤꯇꯤꯒꯥ
কমিতিগী	ꯀꯃꯤꯇꯤꯒꯤ
কমিতিদা	ꯀꯃꯤꯇꯤꯗꯥ
কমিতিন	ꯀꯃꯤꯇꯤꯟ
কমিতিনসু	ꯀꯃꯤꯇꯤꯅꯁꯨ
কমিতিনা	ꯀꯃꯤꯇꯤꯅꯥ
কমিতিনি	ꯀꯃꯤꯇꯤꯅꯤ
কমিতিবু	ꯀꯃꯤꯇꯤꯕꯨ
কমিতিশিং	ꯀꯃꯤꯇꯤꯁꯤꯡ
কমিতিশিংগা	ꯀꯃꯤꯇꯤꯁꯤꯡꯒꯥ
কমিতিশিংগী	ꯀꯃꯤꯇꯤꯁꯤꯡꯒꯤ
কমিতিশিংনা	ꯀꯃꯤꯇꯤꯁꯤꯡꯅꯥ
কমিতিসু	ꯀꯃꯤꯇꯤꯁꯨ
কমিনি	ꯀꯃꯤꯅꯤ
কমিসন	ꯀꯃꯤꯁꯟ
কমিসনগী	ꯀꯃꯤꯁꯟꯒꯤ
কমিসনদা	ꯀꯃꯤꯁꯟꯗꯥ
কমিসননা	ꯀꯃꯤꯁꯟꯅꯥ
কমিসনসু	ꯀꯃꯤꯁꯟꯁꯨ
কমিসনার	ꯀꯃꯤꯁꯅꯥꯔ
কমিসনারনা	ꯀꯃꯤꯁꯅꯥꯔꯅꯥ
কমিসনারশিংদা	ꯀꯃꯤꯁꯅꯥꯔꯁꯤꯡꯗꯥ
কমিসন্নসু	ꯀꯃꯤꯁꯟꯅꯁꯨ
কমিসন্না	ꯀꯃꯤꯁꯟꯅꯥ
কমিস্নার	ꯀꯃꯤꯁꯅꯥꯔ
কমিস্নারগী	ꯀꯃꯤꯁꯅꯥꯔꯒꯤ
কমিস্নারনসু	ꯀꯃꯤꯁꯅꯥꯔꯅꯁꯨ
কমিস্নারনা	ꯀꯃꯤꯁꯅꯥꯔꯅꯥ
কমিস্নারশিং	ꯀꯃꯤꯁꯅꯥꯔꯁꯤꯡ
কমিস্নারশিংদা	ꯀꯃꯤꯁꯅꯥꯔꯁꯤꯡꯗꯥ
কমিস্নারশিংনা	ꯀꯃꯤꯁꯅꯥꯔꯁꯤꯡꯅꯥ
কমিস্নারসু	ꯀꯃꯤꯁꯅꯥꯔꯁꯨ
কমীস্নারনা	ꯀꯃꯤꯁꯅꯥꯔꯅꯥ
কমু্যনিকেসন	ꯀꯃꯨꯢꯅꯤꯀꯦꯁꯟ
কমু্যনিকেসনগী	ꯀꯃꯨꯢꯅꯤꯀꯦꯁꯟꯒꯤ
কমু্যনিকেসন্স	ꯀꯃꯨꯢꯅꯤꯀꯦꯁꯟ꯭ꯁ
কমু্যনিতি	ꯀꯃꯨꯢꯅꯤꯇꯤ
কমু্যনিতিদা	ꯀꯃꯨꯢꯅꯤꯇꯤꯗꯥ
কমু্যনিতিশিংদা	ꯀꯃꯨꯢꯅꯤꯇꯤꯁꯤꯡꯗꯥ
কমু্যনিষ্ট	ꯀꯃꯨꯢꯅꯤꯁ꯭ꯇ
কমু্যনিষ্টশিংনা	ꯀꯃꯨꯢꯅꯤꯁ꯭ꯇꯁꯤꯡꯅꯥ
কমু্যনেল	ꯀꯃꯨꯢꯅꯦꯜ
কমেমোরেটিংগী	ꯀꯃꯦꯃꯣꯔꯦꯇꯤꯡꯒꯤ
কমেমোরেসন	ꯀꯃꯦꯃꯣꯔꯦꯁꯟ
কমেলাবু	ꯀꯃꯦꯂꯥꯕꯨ
কম্পতিসন	ꯀꯝ꯭ꯄꯇꯤꯁꯟ
কম্পনি	ꯀꯝ꯭ꯄꯅꯤ
কম্পনিগী	ꯀꯝ꯭ꯄꯅꯤꯒꯤ
কম্পনিজ	ꯀꯝ꯭ꯄꯅꯤꯖ
কম্পনিদগী	ꯀꯝ꯭꯭ꯄꯅꯤꯗꯥ
কম্পনিনা	ꯀꯝ꯭ꯄꯅꯤꯅꯥ
কম্পনিশিং	ꯀꯝ꯭ꯄꯅꯤꯁꯤꯡ
কম্পনিশিংগী	ꯀꯝ꯭ꯄꯅꯤꯁꯤꯡꯒꯤ
কম্পনিশিংদগী	ꯀꯝ꯭ꯄꯅꯤꯁꯤꯡꯗꯒꯤ
কম্পনিশিংদা	ꯀꯝ꯭ꯄꯅꯤꯁꯤꯡꯗꯥ
কম্পনিশিংনা	ꯀꯝ꯭ꯄꯅꯤꯁꯤꯡꯅꯥ
কম্পরমাইজ	ꯀꯝꯄꯔꯃꯥꯢꯖ
কম্পলসরি	ꯀꯝꯄꯜꯁꯔꯤ
কম্পাউ	ꯀꯝꯄꯥꯎ
কম্পাউনদা	ꯀꯝꯄꯥꯎꯟꯗꯥ
কম্পাউন্দ	ꯀꯝꯄꯥꯎꯟ꯭ꯗ
কম্পাউন্দগী	ꯀꯝꯄꯥꯎꯟ꯭ꯗꯒꯤ
কম্পাউন্দদা	ꯀꯝꯄꯥꯎꯟ꯭ꯗꯗꯥ
কম্পাউন্দা	ꯀꯝꯄꯥꯎꯟꯗꯥ
কম্পানি	ꯀꯝꯄꯥꯅꯤ
কম্পানিগা	ꯀꯝꯄꯥꯅꯤꯒꯥ
কম্পানিগী	ꯀꯝꯄꯥꯅꯤꯒꯤ
কম্পানিদগী	ꯀꯝꯄꯥꯅꯤꯗꯒꯤ
কম্পানিনা	ꯀꯝꯄꯥꯅꯤꯅꯥ
কম্পানিশিং	ꯀꯝꯄꯥꯅꯤꯁꯤꯡ
কম্পানিশিংগা	ꯀꯝꯄꯥꯅꯤꯁꯤꯡꯒꯥ
কম্পানিশিংগী	ꯀꯝꯄꯥꯅꯤꯁꯤꯡꯒꯤ
কম্পানিশিংদা	ꯀꯝꯄꯥꯅꯤꯁꯤꯡꯗꯥ
কম্পানিশিংনসু	ꯀꯝꯄꯥꯅꯤꯁꯤꯡꯅꯁꯨ
কম্পানিশিংনা	ꯀꯝꯄꯥꯅꯤꯁꯤꯡꯅꯥ
