অংথা	ꯑꯪꯊꯥ
অসামীজ	ꯑꯁꯥꯃꯤꯖ
অসাসোলদা	ꯑꯁꯥꯁꯣꯜꯗꯥ
অসিক	ꯑꯁꯤꯛ
অসিস	ꯑꯁꯤꯁ
অসিয়ান	ꯑꯁꯤꯌꯥꯟ
অসুক্কী	ꯑꯁꯨꯛꯀꯤ
অসুতোস	ꯑꯁꯨꯇꯣꯁ
অস্তানা	ꯑꯁꯇꯥꯅꯥ
অস্ত্রা	ꯑꯁꯇ꯭ꯔꯥ
অস্বাগন্ধা	ꯑꯁ꯭ꯋꯒꯟꯙꯥ
অস্বিনি	ꯑꯁ꯭ꯋꯤꯅꯤ
অস্বিনিকুমার	ꯑꯁ꯭ꯋꯤꯅꯤꯀꯨꯃꯥꯔ
অস্মা	ꯑꯁꯃꯥ
অস্রম	ꯑꯁ꯭ꯔꯝ
অহিরনা	ꯑꯍꯤꯔꯅꯥ
অৱধ	ꯑꯋꯙ
অৱষ্টিনা	ꯑꯋꯁꯇꯤꯅꯥ
অৱসথি	ꯑꯋꯁꯊꯤ
অৱাংখুল	ꯑꯋꯥꯡꯈꯨꯜ
অৱাংবৌ	ꯑꯋꯥꯡꯕꯧ
অৱাংবৌনা	ꯑꯋꯥꯡꯕꯧꯅꯥ
অৱাংমতাবদা	ꯑꯋꯥꯡꯃꯇꯥꯕꯗꯥ
অৱাজ	ꯑꯋꯥꯖ
অৱানতিপোরাগী	ꯑꯋꯥꯟꯇꯤꯄꯣꯔꯥꯒꯤ
অৱান্তিপোরাদা	ꯑꯋꯥꯟꯇꯤꯄꯣꯔꯥꯗꯥ
অৱাম	ꯑꯋꯥꯝ
অৱামি	ꯑꯋꯥꯃꯤ
অৱামী	ꯑꯋꯥꯃꯤ
অৱার	ꯑꯋꯥꯔ
অৱারগী	ꯑꯋꯥꯔꯒꯤ
অৱারদা	ꯑꯋꯥꯔꯗꯥ
অৱারশিংদা	ꯑꯋꯥꯔꯁꯤꯡꯗꯥ
অৱাস	ꯑꯋꯥꯁ
অৱুংসি	ꯑꯋꯨꯡꯁꯤ
অৱুংসিনা	ꯑꯋꯨꯡꯁꯤꯅꯥ
একোর্ড	ꯑꯦꯀꯣꯔꯗ
একোর্দ	ꯑꯦꯀꯣꯔꯗ
একোর্দকী	ꯑꯦꯀꯣꯔꯗꯀꯤ
একোর্দতা	ꯑꯦꯀꯣꯔꯗꯇꯥ
একোর্দসু	ꯑꯦꯀꯣꯔꯗꯁꯨ
এক্কোমোদেসন	ꯑꯦꯛꯀꯣꯃꯣꯗꯦꯁꯟ
এক্ট্রেস	ꯑꯦꯛꯇ꯭ꯔꯦꯁ
এক্ত্রেস	ꯑꯦꯛꯇ꯭ꯔꯦꯁ
এক্ত্রেসকী	ꯑꯦꯛꯇ꯭ꯔꯦꯁꯀꯤ
এক্রেদিতেদ	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯇꯦꯗ
এক্রেদিতেসন	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯇꯦꯁꯟ
এক্রেদিসন	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯁꯟ
এক্সেলসেনগী	ꯑꯦꯛꯁꯦꯜꯁꯦꯟꯒꯤ
এক্সেলেন্স	ꯑꯦꯛꯁꯦꯂꯦꯟꯁ
এক্সেলেন্সকী	ꯑꯦꯛꯁꯦꯂꯦꯟꯁꯀꯤ
এক্সেলেন্সশিং	ꯑꯦꯛꯁꯦꯂꯦꯟꯁꯁꯤꯡ
এক্সেস	ꯑꯦꯛꯁꯦꯁ
এক্সেসকা	ꯑꯦꯛꯁꯦꯁꯀꯥ
এক্সেসসিবল	ꯑꯦꯛꯁꯦꯁꯁꯤꯕꯜ
এগেনষ্ট	ꯑꯦꯒꯦꯟꯁꯇ
এগেন্ট	ꯑꯦꯒꯦꯟꯇ
এগেন্টস	ꯑꯦꯒꯦꯟꯇꯁ
এগেন্স	ꯑꯦꯒꯦꯟꯁ
এগ্রো	ꯑꯦꯒꯔꯣ
এগ্লোমেরেসনদা	ꯑꯦꯒꯂꯣꯃꯦꯔꯦꯁꯟꯗꯥ
এঙ্গেলা	ꯑꯦꯡꯒꯦꯂꯥ
এঙ্গোলো	ꯑꯦꯡꯒꯣꯂꯣ
এজেন্ট	ꯑꯦꯖꯦꯟꯇ
এজেন্টশিং	ꯑꯦꯖꯦꯟꯇꯁꯤꯡ
এজেন্টশিংগী	ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯒꯤ
এজেন্টশিংদগী	ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯗꯒꯤ
এজেন্টশিংদা	ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯗꯥ
এজেন্টশিংনা	ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯅꯥ
এজেন্দাদা	ꯑꯦꯖꯦꯟꯗꯥꯗꯥ
এজেন্দাবু	ꯑꯦꯖꯦꯟꯗꯥꯕꯨ
এজেন্সি	ꯑꯦꯖꯦꯟꯁꯤ
এজেন্সিগী	ꯑꯦꯖꯦꯟꯁꯤꯒꯤ
এজেন্সিজ	ꯑꯦꯖꯦꯟꯁꯤꯖ
এজেন্সিদা	ꯑꯦꯖꯦꯟꯁꯤꯗꯥ
এজেন্সিনা	ꯑꯦꯖꯦꯟꯁꯤꯅꯥ
এজেন্সিশিং	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡ
এজেন্সিশিংগসু	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯒꯁꯨ
এজেন্সিশিংগা	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯒꯥ
এজেন্সিশিংগী	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯒꯤ
এজেন্সিশিংদা	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯗꯥ
এজেন্সিশিংনা	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯅꯥ
এজেন্সিসিশিং	ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡ
এঞ্জেলা	ꯑꯦꯟꯖꯦꯂꯥ
এটেক	ꯑꯦꯇꯦꯛ
এটেক্তা	ꯑꯦꯇꯦꯛꯇꯥ
এটেন্দেন্স	ꯑꯦꯇꯦꯟꯗꯦꯟꯁ
এটেন্সন	ꯑꯦꯇꯦꯟꯁꯟ
এটেন্সনশিং	ꯑꯦꯇꯦꯟꯁꯟꯁꯤꯡ
এটেপ	ꯑꯦꯇꯦꯞ
এটেম্পতা	ꯑꯦꯇꯦꯝꯄꯇꯥ
এটেষ্ট	ꯑꯦꯇꯦꯁꯇ
এটোমিক	ꯑꯦꯇꯣꯃꯤꯛ
এট্টেক	ꯑꯦꯠꯇꯦꯛ
এট্টেক্করশিং	ꯑꯦꯠꯇꯦꯛꯀꯔꯁꯤꯡ
এট্টেক্তা	ꯑꯦꯠꯇꯦꯛꯇꯥ
এতেক	ꯑꯦꯇꯦꯛ
এতেক্তা	ꯑꯦꯇꯦꯛꯇꯥ
এতেনসন	ꯑꯦꯇꯦꯟꯁꯟ
এতেন্দেন্ট	ꯑꯦꯇꯦꯟꯗꯦꯟꯇ
এতেন্দেন্টনি	ꯑꯦꯇꯦꯟꯗꯦꯟꯇꯅꯤ
এতেন্দেন্টশিংদা	ꯑꯦꯇꯦꯟꯗꯦꯟꯇꯁꯤꯡꯗꯥ
এতেন্সন	ꯑꯦꯇꯦꯟꯁꯟ
এতেষ্ট	ꯑꯦꯇꯦꯁꯇ
এতেসন	ꯑꯦꯇꯦꯁꯟ
এতেসনগী	ꯑꯦꯇꯦꯁꯟꯒꯤ
এতোমিক	ꯑꯦꯇꯣꯃꯤꯛ
এত্রোসসিতিজ	ꯑꯦꯇꯔꯣꯁꯁꯤꯇꯤꯖ
এত্রোসিটিজ	ꯑꯦꯇꯔꯣꯁꯤꯇꯤꯖ
এত্রোসিতিজ	ꯑꯦꯇꯔꯣꯁꯤꯇꯤꯖ
এথেলিটশিং	ꯑꯦꯊꯦꯂꯤꯠꯁꯤꯡ
এথেলিটশিংনা	ꯑꯦꯊꯦꯂꯤꯠꯁꯤꯡꯅꯥ
এথেলেট	ꯑꯦꯊꯦꯂꯦꯠ
এথেলেটশিংগা	ꯑꯦꯊꯦꯂꯦꯠꯁꯤꯡꯒꯥ
এথেলেতিক	ꯑꯦꯊꯦꯂꯦꯇꯤꯛ
এথেলেতিক্তা	ꯑꯦꯊꯦꯂꯦꯇꯤꯛꯇꯥ
এনেক্সি	ꯑꯦꯅꯦꯛꯁꯤ
এনেক্সিগী	ꯑꯦꯅꯦꯛꯁꯤꯒꯤ
এনেক্সিদা	ꯑꯦꯅꯦꯛꯁꯤꯗꯥ
এনেমিয়া	ꯑꯦꯅꯦꯃꯤꯌꯥ
এনোভেটিব	ꯑꯦꯅꯣꯚꯦꯇꯤꯚ
এপ্পোইনমেন্ট	ꯑꯦꯞꯄꯣꯏꯟꯃꯦꯟꯇ
এপ্পোইন্টমেন্ট	ꯑꯦꯞꯄꯣꯏꯟꯇꯃꯦꯟꯇ
এভেন্ট	ꯑꯦꯚꯦꯟꯇ
এভোদকেট	ꯑꯦꯚꯣꯗꯀꯦꯠ
এমেচর	ꯑꯦꯃꯦꯆꯔ
এমেনমেন্ট	ꯑꯦꯃꯦꯟꯃꯦꯟꯠ
এমেন্দ	ꯑꯦꯃꯦꯟꯗ
এমেন্দমেন্ট	ꯑꯦꯃꯦꯟꯗꯃꯦꯟꯠ
এমোনিয়া	ꯑꯦꯃꯣꯅꯤꯌꯥ
এম্যেচর	ꯑꯦꯃꯌ꯭ꯦꯆꯔ
এৱেক	ꯑꯦꯋꯦꯛ
ঔতো	ꯑꯧꯇꯣ
ঔর	ꯑꯧꯔ
ঔরঙ্গবাদ	ꯑꯧꯔꯡꯒꯕꯥꯗ
ঔরাইয়াগী	ꯑꯧꯔꯥꯏꯌꯥꯒꯤ
ঔশাদি	ꯑꯧꯁꯥꯗꯤ
ঔশাদিগী	ꯑꯧꯁꯥꯗꯤꯒꯤ
ঔশাধি	ꯑꯧꯁꯥꯙꯤ
ঔসতিননা	ꯑꯧꯁꯇꯤꯟꯅꯥ
ঔসদি	ꯑꯧꯁꯗꯤ
ঔসাদি	ꯑꯧꯁꯥꯗꯤ
ঔসাদিকী	ꯑꯧꯁꯥꯗꯤꯀꯤ
ঔসাদিগী	ꯑꯧꯁꯥꯗꯤꯒꯤ
থাদৌ	ꯊꯥꯗꯧ
থাপা	ꯊꯥꯄꯥ
থাপানা	ꯊꯥꯄꯥꯅꯥ
থুহিলতুগী	ꯊꯨꯍꯤꯜꯇꯨꯒꯤ
ধমেন্দ্র	ꯙꯃꯦꯟꯗꯔ
ধরভঙ্গা	ꯙꯔꯚꯡꯒꯥ
ধরভঙ্গাদা	ꯙꯔꯚꯡꯒꯥꯗꯥ
ধরমেন্দ্র	ꯙꯔꯃꯦꯟꯗꯔ
ধরম্পুর	ꯙꯔꯝꯄꯨꯔ
ধরসনা	ꯙꯔꯁꯅꯥ
ধরাপুরমদা	ꯙꯔꯥꯄꯨꯔꯝꯗꯥ
ধর্মেন্দ্র	ꯙꯔꯃꯦꯟꯗꯔ
ধর্সন	ꯙꯔꯁꯟ
ধলাই	ꯙꯂꯥꯏ
ধলাইবিল	ꯙꯂꯥꯏꯕꯤꯜ
ধাকা	ꯙꯥꯀꯥ
ধাকাগী	ꯙꯥꯀꯥꯒꯤ
ধাকাদা	ꯙꯥꯀꯥꯗꯥ
ধানশ্রী	ꯙꯥꯟꯁ꯭ꯔꯤ
ধানশ্রীদা	ꯙꯥꯟꯁ꯭ꯔꯤꯗꯥ
ধানি	ꯙꯥꯅꯤ
ধাবিগী	ꯙꯥꯕꯤꯒꯤ
ধামি	ꯙꯥꯃꯤ
ধামিগা	ꯙꯥꯃꯤꯒꯥ
ধামিনা	ꯙꯥꯃꯤꯅꯥ
ধামিবু	ꯙꯥꯃꯤꯕꯨ
ধারভিদা	ꯙꯥꯔꯚꯤꯗꯥ
ধারা	ꯙꯥꯔꯥ
ধারাবি	ꯙꯥꯔꯥꯕꯤ
ধারাবিদা	ꯙꯥꯔꯥꯕꯤꯗꯥ
ধারোহর	ꯙꯥꯔꯣꯍꯔ
ধাৱন	ꯙꯥꯋꯟ
ধুপগুরিদা	ꯙꯨꯞꯒꯨꯔꯤꯗꯥ
ধুবাক	ꯙꯨꯕꯥꯛ
ধুব্রি	ꯙꯨꯕ꯭ꯔꯤ
ধুমকা	ꯙꯨꯝꯀꯥ
ধ্যাচান্দ	ꯙ꯭ꯌꯥꯆꯥꯟꯗ
ধ্যানচান্দগী	ꯙ꯭ꯌꯥꯟꯆꯥꯟꯗꯒꯤ
ধ্যানচান্দবু	ꯙ꯭ꯌꯥꯟꯆꯥꯟꯗꯕꯨ
পদ	ꯄꯥꯗꯥ
পদক	ꯄꯥꯗꯛ
পদা	ꯄꯗꯥ
পদাল	ꯄꯗꯥꯜ
পদুকোননা	ꯄꯗꯨꯀꯣꯟꯅꯥ
পদ্ম	ꯄꯗꯃꯥ
পদ্মবি	ꯄꯗꯃꯥꯕꯤ
পদ্মশ্রী	ꯄꯗꯃꯥꯁ꯭ꯔꯤ
পদ্মা	ꯄꯗꯃꯥ
পদ্মাবতি	ꯄꯗꯃꯥꯕꯇꯤ
পদ্মাবতিনা	ꯄꯗꯃꯥꯕꯇꯤꯅꯥ
পদ্মাভি	ꯄꯗꯃꯥꯚꯤ
পদ্মাশ্রী	ꯄꯗꯃꯥꯁꯔꯤ
পদ্যয়াত্রি	ꯄꯗꯖꯌꯥꯠꯔꯤ
পন্দাসু	ꯄꯟꯗꯥꯁꯨ
প্রদক্ট	ꯄꯔ꯭ꯗꯛꯇ
প্রদক্টকী	ꯄꯔ꯭ꯗꯛꯇꯀꯤ
প্রদক্টশিং	ꯄꯔ꯭ꯗꯛꯇꯁꯤꯡ
প্রদক্টসকী	ꯄꯔ꯭ꯗꯛꯇꯁꯀꯤ
প্রদক্টিব	ꯄꯔ꯭ꯗꯛꯇꯤꯕ
প্রদক্স	ꯄꯔ꯭ꯗꯛꯁ
প্রদক্সন	ꯄꯔ꯭ꯗꯛꯁꯟ
প্রদক্সনগী	ꯄꯔ꯭ꯗꯛꯁꯟꯒꯤ
প্রদুসন	ꯄꯔ꯭ꯗꯨꯁꯟ
প্রদু্যজ	ꯄꯔ꯭ꯗꯨꯖꯖ
প্রদু্যট	ꯄꯔ꯭ꯗꯨꯖꯇ
প্রদু্যত	ꯄꯔ꯭ꯗꯨꯖꯇ
প্রদু্যস	ꯄꯔ꯭ꯗꯨꯖꯁ
প্রদু্যসন	ꯄꯔ꯭ꯗꯨꯖꯁꯟ
প্রদু্যসর	ꯄꯔ꯭ꯗꯨꯖꯁꯔ
প্রদু্যসরনি	ꯄꯔ꯭ꯗꯨꯖꯁꯔꯅꯤ
প্রদু্যসরশিংসু	ꯄꯔ꯭ꯗꯨꯖꯁꯔꯁꯤꯡꯁꯨ
প্রদু্যসরস	ꯄꯔ꯭ꯗꯨꯖꯁꯔꯁ
প্রদেসেকী	ꯄꯔ꯭ꯗꯦꯁꯀꯤ
প্রদ্রেস	ꯄꯔ꯭ꯗꯔꯦꯁ
প্রধ	ꯄꯔ꯭ꯙ
প্রধান	ꯄꯔ꯭ꯙꯥꯅ
প্রধানগা	ꯄꯔ꯭ꯙꯥꯅꯒꯥ
প্রধানগী	ꯄꯔ꯭ꯙꯥꯅꯒꯤ
প্রধানদা	ꯄꯔ꯭ꯙꯥꯅꯗꯥ
প্রধাননা	ꯄꯔ꯭ꯙꯥꯅꯅꯥ
প্রধানমন্ত্রি	ꯄꯔ꯭ꯙꯥꯅꯝꯅꯠꯔꯤ
প্রধানশিং	ꯄꯔ꯭ꯙꯥꯅꯁꯤꯡ
প্রধানশিংসু	ꯄꯔ꯭ꯙꯥꯅꯁꯤꯡꯁꯨ
প্রধান্না	ꯄꯔ꯭ꯙꯥꯟꯅꯥ
প্রফুল	ꯄꯔ꯭ꯐꯨꯜ
প্রফুল্লা	ꯄꯔ꯭ꯐꯨꯜꯂꯥ
যজ্ঞ্য	ꯖꯖꯟꯖ
যসোবন্ত	ꯖꯁꯣꯕꯟꯇ
যসৱন্ত	ꯖꯁꯋꯟꯇ
যাদব	ꯖꯥꯗꯕ
যাদবকী	ꯖꯥꯗꯕꯀꯤ
যাদবনচিংবসু	ꯖꯥꯗꯕꯅꯆꯤꯡꯕꯁꯨ
যাদবনা	ꯖꯥꯗꯕꯅꯥ
যাদবপু	ꯖꯥꯗꯕꯄꯨ
যানেন্দ্র	ꯖꯥꯅꯦꯟꯗ꯭ꯔ
যামুনা	ꯖꯥꯃꯨꯅꯥ
যারদোস	ꯖꯥꯔꯗꯣꯁ
যুক	ꯖꯨꯛ
যুগ	ꯖꯨꯒ
যুব	ꯖꯨꯕ
যুবা	ꯖꯨꯕꯥ
লক্ষদ্বিপ	ꯂꯛꯁꯗꯕꯤꯄ
লক্ষদ্বিপতকী	ꯂꯛꯁꯗꯕꯤꯄꯠꯀꯤ
লক্ষন	ꯂꯛꯁꯅ
লক্ষমনন্দনা	ꯂꯛꯁꯃꯟꯅꯗꯅꯥ
লক্ষমবর্ককী	ꯂꯛꯁꯃꯕꯔꯀꯀꯤ
লমকা	ꯂꯝꯀꯥ
লমকাং	ꯂꯝꯀꯥꯡ
লমকাগী	ꯂꯝꯀꯥꯒꯤ
লমকাদগী	ꯂꯝꯀꯥꯗꯒꯤ
লমকাদা	ꯂꯝꯀꯥꯗꯥ
লমকানা	ꯂꯝꯀꯥꯅꯥ
লমখাই	ꯂꯝꯈꯥꯏ
লমখাইগী	ꯂꯝꯈꯥꯏꯒꯤ
লমখাইদা	ꯂꯝꯈꯥꯏꯗꯥ
লমখায়	ꯂꯝꯈꯥꯏ
লমখায়দা	ꯂꯝꯈꯥꯏꯗꯥ
লমখিমপুর	ꯂꯝꯈꯤꯃꯄꯨꯔ
লমতাচাওনা	ꯂꯝꯇꯥꯆꯥꯎꯅꯥ
লমতিনথাং	ꯂꯝꯇꯤꯟꯊꯥꯡ
লমথোকফম	ꯂꯝꯊꯣꯛꯐꯝ
লমদিং	ꯂꯝꯗꯤꯡ
লমদেং	ꯂꯝꯗꯦꯡ
লমদেংগী	ꯂꯝꯗꯦꯡꯒꯤ
লমদেংদা	ꯂꯝꯗꯦꯡꯗꯥ
লমদোং	ꯂꯝꯗꯣꯡ
লমদোংদা	ꯂꯝꯗꯣꯡꯗꯥ
লমফেল	ꯂꯝꯐꯦꯜ
লমফেলগী	ꯂꯝꯐꯦꯜꯒꯤ
লমফেলদা	ꯂꯝꯐꯦꯜꯗꯥ
লমফেলপাৎ	ꯂꯝꯐꯜꯄꯥꯠ
লমফেলপাৎতা	ꯂꯝꯐꯦꯜꯄꯥꯠꯇꯥ
লমবোই	ꯂꯝꯕꯣꯏ
লমলাই	ꯂꯝꯂꯥꯏ
লমলাইনা	ꯂꯝꯂꯥꯏꯅꯥ
লমলোং	ꯂꯝꯂꯣꯡ
লমলোংগৈদা	ꯂꯝꯂꯣꯡꯒꯩꯗꯥ
লমলোংদা	ꯂꯝꯂꯣꯡꯗꯥ
লমশাং	ꯂꯝꯁꯥꯡ
লমশাংগী	ꯂꯝꯁꯥꯡꯒꯤ
লমশাংদা	ꯂꯝꯁꯥꯡꯗꯥ
লমশাংলোমদগী	ꯂꯝꯁꯥꯡꯂꯣꯃꯗꯒꯤ
লমাবম	ꯂꯃꯥꯕꯝ
লমায়	ꯂꯃꯥꯏ
লমায়দা	ꯂꯃꯥꯏꯗꯥ
লম্বুলেন	ꯂꯝꯕꯨꯂꯦꯅ
লম্বুলেনবু	ꯂꯝꯕꯨꯂꯦꯅꯕꯨ
লম্বুলেন্দ	ꯂꯝꯕꯨꯂꯦꯟꯗ
লম্মন	ꯂꯝꯃꯟ
লম্লাই	ꯂꯝꯂꯥꯏ
লম্লাইগী	ꯂꯝꯂꯥꯏꯒꯤ
লম্লাইদা	ꯂꯝꯂꯥꯏꯗꯥ
লম্লাইনা	ꯂꯝꯂꯥꯏꯅꯥ
লম্লাইবু	ꯂꯝꯂꯥꯏꯕꯨ
লময়ানবা	ꯂꯝꯌꯥꯟꯕꯥ
ললাম্বুং	ꯂꯂꯥꯝꯕꯨꯡ
