অংথা	ꯑꯪꯊꯥ
ইস্লাম	ꯏꯁꯂꯥꯝ
ইস্লামগী	ꯏꯁꯂꯥꯝꯒꯤ
ইস্লামনা	ꯏꯁꯂꯥꯝꯅꯥ
ইস্লামবাদ	ꯏꯁꯂꯥꯝꯕꯥꯗ
ইস্লামাবাদ	ꯏꯁꯂꯥꯃꯥꯕꯥꯗ
ইস্লামি	ꯏꯁꯂꯥꯃꯤ
ইস্লামিক	ꯏꯁꯂꯥꯃꯤꯛ
ইস্লামিগী	ꯏꯁꯂꯥꯃꯤꯒꯤ
ইহুম্কাসি	ꯏꯍꯨꯝꯀꯥꯁꯤ
ইয়ার	ꯏꯌꯥꯔ
ইয়ারগী	ꯏꯌꯥꯔꯒꯤ
ইয়ারটেল	ꯏꯌꯥꯔꯇꯦꯜ
ইয়ারটেলগা	ꯏꯌꯥꯔꯇꯦꯜꯒꯥ
ইয়ারপোর্ট	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇ
ইয়ারপোর্টকী	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯀꯤ
ইয়ারপোর্টতগী	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯇꯒꯤ
ইয়ারপোর্টতা	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯇꯥ
ইয়ারপোর্টপু	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯄꯨ
ইয়ারপোর্টশিংদা	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯁꯤꯡꯗꯥ
ইয়ারপোর্টয়	ꯏꯌꯥꯔꯄꯣꯔ꯭ꯇꯌ
ইয়ুজ	ꯏꯌꯨꯖ
ইয়োর	ꯏꯌꯣꯔ
ঈম্পোরিয়মদা	ꯏꯝꯄꯣꯔꯤꯌꯝꯗꯥ
ঈরা	ꯏꯔꯥ
উক্তর	ꯎꯛꯇꯔ
উখু্রল	ꯎꯈꯨꯔꯜ
উখু্রলগী	ꯎꯈꯨꯔꯜꯒꯤ
উখু্রলগুম্বা	ꯎꯈꯨꯔꯜꯒꯨꯝꯕꯥ
উখু্রলদগী	ꯎꯈꯨꯔꯜꯗꯒꯤ
উখু্রলদগীনি	ꯎꯈꯨꯔꯜꯗꯒꯤꯅꯤ
উখু্রলদসু	ꯎꯈꯨꯔꯜꯗꯁꯨ
উখু্রলদা	ꯎꯈꯨꯔꯜꯗꯥ
উখু্রলনা	ꯎꯈꯨꯔꯜꯅꯥ
উখোংশাং	ꯎꯈꯣꯡꯁꯥꯡ
উখোক্তেন্দা	ꯎꯈꯣꯛꯇꯦꯟꯗꯥ
উখ্রল	ꯎꯈ꯭ꯔꯨꯜ
উখ্রুল	ꯎꯈ꯭ꯔꯨꯜ
উখ্রুলগী	ꯎꯈ꯭ꯔꯨꯜꯒꯤ
উখ্রুলদগী	ꯎꯈ꯭ꯔꯨꯜꯗꯒꯤ
উখ্রুলদা	ꯎꯈ꯭ꯔꯨꯜꯗꯥ
উখ্রুলনি	ꯎꯈ꯭ꯔꯨꯜꯅꯤ
উগাদিগী	ꯎꯒꯥꯗꯤꯒꯤ
উগুএবকা	ꯎꯒꯨꯑꯦꯕꯀꯥ
উচাথোলদা	ꯎꯆꯥꯊꯣꯜꯗꯥ
উচিৱা	ꯎꯆꯤꯋꯥ
উচিৱানা	ꯎꯆꯤꯋꯥꯅꯥ
উচেকোনদা	ꯎꯆꯦꯀꯣꯟꯗꯥ
উচেক্কোন	ꯎꯆꯦꯛꯀꯣꯟ
উচেক্কোনদা	ꯎꯆꯦꯛꯀꯣꯟꯗꯥ
উচেক্কোন্দা	ꯎꯆꯦꯛꯀꯣꯟꯗꯥ
উজবেকিষ্টানগী	ꯎꯖꯕꯦꯀꯤꯁꯇꯥꯟꯒꯤ
উজবেকিস্তান	ꯎꯖꯕꯦꯀꯤꯁꯇꯥꯟ
উজবেকিস্তানগা	ꯎꯖꯕꯦꯀꯤꯁꯇꯥꯟꯒꯥ
উজবেকিস্তানগী	ꯎꯖꯕꯦꯀꯤꯁꯇꯥꯟꯒꯤ
উজবেকিস্তান্না	ꯎꯖꯕꯦꯀꯤꯁꯇꯥꯟꯅꯥ
উজালা	ꯎꯖꯥꯂꯥ
উজি	ꯎꯖꯤ
উজেলনচিংবা	ꯎꯖꯦꯂꯟꯆꯤꯡꯕꯥ
উজৱালা	ꯎꯖꯋꯥꯂꯥ
উজৱালাগী	ꯎꯖꯋꯥꯂꯥꯒꯤ
উট্টর	ꯎꯠꯇꯔ
উট্টরাখণ্ডদগীনি	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯗꯒꯤꯅꯤ
উতক্রিসদ	ꯎꯇꯀ꯭ꯔꯤꯁꯗ
উতপাল	ꯎꯠꯄꯥꯜ
উতম	ꯎꯇꯝ
উতমগা	ꯎꯇꯝꯒꯥ
উতমনা	ꯎꯇꯝꯅꯥ
উতি	ꯎꯇꯤ
উত্তম	ꯎꯠꯇꯝ
উত্তর	ꯎꯠꯇꯔ
উত্তরকাসি	ꯎꯠꯇꯔꯀꯥꯁꯤ
উত্তরখন্দ	ꯎꯠꯇꯔꯈꯟ꯭ꯗ
উত্তরখন্দগী	ꯎꯠꯇꯔꯈꯟ꯭ꯗꯒꯤ
উত্তরদা	ꯎꯠꯇꯔꯗꯥ
উত্তরপ্রদেশ	ꯎꯠꯇꯔꯄ꯭ꯔꯗꯦꯁ
উত্তরাখন	ꯎꯠꯇꯔꯥꯈꯟ
উত্তরাখন্দ	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗ
উত্তরাখন্দগী	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯒꯤ
উত্তরাখন্দদগী	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯗꯒꯤ
উত্তরাখন্দদসু	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯗꯁꯨ
উত্তরাখন্দদা	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯗꯥ
উত্তরাখন্দনচিংবা	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯅꯆꯤꯡꯕꯥ
উত্তরাখন্দনি	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯅꯤ
উত্তরাখন্দবু	ꯎꯠꯇꯔꯥꯈꯟ꯭ꯗꯕꯨ
উত্তরাখন্দা	ꯎꯠꯇꯔꯥꯈꯟꯗꯥ
উত্তরায়নগী	ꯎꯠꯇꯔꯥꯢꯟꯒꯤ
উত্থী	ꯎꯠꯊꯤ
উত্রাদা	ꯎꯇ꯭ꯔꯥꯗꯥ
উত্রোঙ্দুগী	ꯎꯇ꯭ꯔꯣꯡꯗꯨꯒꯤ
উদপ	ꯎꯗꯞ
উদলগুরি	ꯎꯗꯜꯒꯨꯔꯤ
উদলগুরিগী	ꯎꯗꯜꯒꯨꯔꯤꯒꯤ
উদলগুরিদা	ꯎꯗꯜꯒꯨꯔꯤꯗꯥ
উদলগুলিদা	ꯎꯗꯜꯒꯨꯂꯤꯗꯥ
উদান্তা	ꯎꯗꯥꯟꯇꯥ
উদায়রনা	ꯎꯗꯥꯌꯔꯅꯥ
উদালগুরি	ꯎꯗꯥꯜꯒꯨꯔꯤ
উদায়ন	ꯎꯗꯥꯌꯟ
উদিন	ꯎꯗꯤꯟ
উদিননা	ꯎꯗꯤꯟꯅꯥ
উদো্যগকী	ꯎꯗꯣꯌꯒꯀꯤ
উদো্যাগকী	ꯎꯗꯣꯌꯥꯒꯀꯤ
উদ্দিনগী	ꯎꯗꯗꯤꯟꯒꯤ
উদ্যোগ	ꯎꯗ꯭ꯌꯣꯒ
উদ্যোগকা	ꯎꯗ꯭ꯌꯣꯒꯀꯥ
উদ্যোগকী	ꯎꯗ꯭ꯌꯣꯒꯀꯤ
উদ্যোগকুম্বা	ꯎꯗ꯭ꯌꯣꯒꯀꯨꯝꯕꯥ
উদ্যোগতা	ꯎꯗ꯭ꯌꯣꯒꯇꯥ
উদ্যোগনা	ꯎꯗ꯭ꯌꯣꯒꯅꯥ
উদ্যোগশিং	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡ
উদ্যোগশিংগা	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡꯒꯥ
উদ্যোগশিংগী	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡꯒꯤ
উদ্যোগশিংদা	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡꯗꯥ
উদ্যোগশিংদি	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡꯗꯤ
উদ্যোগশিংনা	ꯎꯗ꯭ꯌꯣꯒꯁꯤꯡꯅꯥ
উদ্রবশিংগী	ꯎꯗ꯭ꯔꯕꯁꯤꯡꯒꯤ
উদয়	ꯎꯗꯌ
উদয়পুর	ꯎꯗꯌꯄꯨꯔ
উধপ	ꯎꯙꯞ
উধব	ꯎꯙꯕ
উধমপুর	ꯎꯙꯝꯄꯨꯔ
উধমপুরদা	ꯎꯙꯝꯄꯨꯔꯗꯥ
উনিয়ালনা	ꯎꯅꯤꯌꯥꯜꯅꯥ
উন্খুইবী	ꯎꯟꯈꯨꯢꯕꯤ
উপচার	ꯎꯞꯆꯥꯔ
উপধ্যায়	ꯎꯞꯙ꯭ꯌꯥꯢ
উপধ্যায়গী	ꯎꯞꯙ꯭ꯌꯥꯢꯒꯤ
উপধ্যায়না	ꯎꯞꯙ꯭ꯌꯥꯢꯅꯥ
উপন্যাস	ꯎꯞꯅ꯭ꯌꯥꯁ
উপসা	ꯎꯞꯁꯥ
উপসানা	ꯎꯞꯁꯥꯅꯥ
উপিনবা	ꯎꯄꯤꯅꯕꯥ
উপিয়ু	ꯎꯄꯤꯌꯨ
উপেনদ্রা	ꯎꯄꯦꯟꯗ꯭ꯔꯥ
উপেন্দ্র	ꯎꯄꯦꯟꯗ꯭ꯔ
উপেন্দ্রনা	ꯎꯄꯦꯟꯗ꯭ꯔꯅꯥ
উপেন্দ্রবু	ꯎꯄꯦꯟꯗ꯭ꯔꯕꯨ
উপয়োগিতা	ꯎꯞꯌꯣꯒꯤꯇꯥ
উভৈয়ুগা	ꯎꯚꯩꯌꯨꯒꯥ
উমরাংসোগী	ꯎꯝꯔꯥꯡꯁꯣꯒꯤ
উমরোইদা	ꯎꯝꯔꯣꯢꯗꯥ
উমা	ꯎꯃꯥ
উমিয়ানদা	ꯎꯃꯤꯌꯥꯟꯗꯥ
উমেশ	ꯎꯃꯦꯁ
উমোনি	ꯎꯃꯣꯅꯤ
উমোনিনা	ꯎꯃꯣꯅꯤꯅꯥ
উম্	ꯎꯝ
উরজুলা	ꯎꯔꯖꯨꯂꯥ
উরদু	ꯎꯔꯗꯨ
উরদুগী	ꯎꯔꯗꯨꯒꯤ
উরদুনা	ꯎꯔꯗꯨꯅꯥ
উরাদেস	ꯎꯔꯥꯗꯦꯁ
উরান	ꯎꯔꯥꯟ
উরানগী	ꯎꯔꯥꯟꯒꯤ
উরাননা	ꯎꯔꯥꯟꯅꯥ
উরিপোক	ꯎꯔꯤꯄꯣꯛ
উরিপোক্তা	ꯎꯔꯤꯄꯣꯛꯇꯥ
উরিষা	ꯎꯔꯤꯁꯥ
উরিষাগী	ꯎꯔꯤꯁꯥꯒꯤ
উরিষাদসু	ꯎꯔꯤꯁꯥꯗꯁꯨ
উরিষাদা	ꯎꯔꯤꯁꯥꯗꯥ
উরিষানি	ꯎꯔꯤꯁꯥꯅꯤ
উরিষ্য	ꯎꯔꯤꯁ꯭ꯌ
উরিষ্যা	ꯎꯔꯤꯁ꯭ꯌꯥ
উরিষ্যাগী	ꯎꯔꯤꯁ꯭ꯌꯥꯒꯤ
উরিষ্যাদা	ꯎꯔꯤꯁ꯭ꯌꯥꯗꯥ
উরিয়া	ꯎꯔꯤꯌꯥ
উরুপ	ꯎꯔꯨꯞ
উরুবামী	ꯎꯔꯨꯕꯥꯃꯤ
উলতাপানি	ꯎꯜꯇꯥꯞꯅꯤ
উলফা	ꯎꯜꯐꯥ
উলফাগী	ꯎꯜꯐꯥꯒꯤ
উলফানা	ꯎꯜꯐꯥꯅꯥ
উলামা	ꯎꯂꯥꯃꯥ
উলামানসু	ꯎꯂꯥꯃꯥꯟꯁꯨ
উলুম	ꯎꯂꯨꯝ
উলুমদা	ꯎꯂꯨꯝꯗꯥ
উল্লাহ	ꯎꯜꯂꯥꯍ
উশাই	ꯎꯁꯥꯢ
উশাইগা	ꯎꯁꯥꯢꯒꯥ
উশাইগী	ꯎꯁꯥꯢꯒꯤ
উশাইনা	ꯎꯁꯥꯢꯅꯥ
উশোইপোকপী	ꯎꯁꯣꯢꯄꯣꯛꯄꯤ
উসম	ꯎꯁꯝ
উসা	ꯎꯁꯥ
উসারানি	ꯎꯁꯥꯔꯥꯅꯤ
উসারানিনা	ꯎꯁꯥꯔꯥꯅꯤꯅꯥ
উসু	ꯎꯁꯨ
উসোইপোকপী	ꯎꯁꯣꯢꯄꯣꯛꯄꯤ
উৎলৌ	ꯎꯠꯂꯧ
উৎলৌগী	ꯎꯠꯂꯧꯒꯤ
উৎলৌদগী	ꯎꯠꯂꯧꯗꯒꯤ
উৎলৌদা	ꯎꯠꯂꯧꯗꯥ
উৎস্য	ꯎꯠꯁ꯭ꯌ
উয়ালদা	ꯎꯌꯥꯜꯗꯥ
উয়ুমপোক্তগী	ꯎꯌꯨꯝꯄꯣꯛꯇꯒꯤ
এইদ	ꯑꯦꯏꯗ
এইদস	ꯑꯦꯏꯗꯁ
এইদসকা	ꯑꯦꯏꯗꯁꯀꯥ
এইদসকী	ꯑꯦꯏꯗꯁꯀꯤ
এইদসতগী	ꯑꯦꯏꯗꯁꯠꯒꯤ
এইদসনা	ꯑꯦꯏꯗꯁꯅꯥ
এইম	ꯑꯦꯏꯝ
এইমস	ꯑꯦꯏꯝꯁ
এইমসকা	ꯑꯦꯏꯝꯁꯀꯥ
এইমসকী	ꯑꯦꯏꯝꯁꯀꯤ
এইমসগুম্বা	ꯑꯦꯏꯝꯁꯒꯨꯝꯕꯥ
এইমসতা	ꯑꯦꯏꯝꯁꯇꯥ
এইমসনা	ꯑꯦꯏꯝꯁꯅꯥ
এইমসশিং	ꯑꯦꯏꯝꯁꯁꯤꯡ
এএসপিনা	ꯑꯦꯑꯦꯁꯄꯤꯅꯥ
এক	ꯑꯦꯛ
একচুয়েল	ꯑꯦꯛꯆꯨꯌꯦꯜ
একচেঞ্জ	ꯑꯦꯛꯆꯦꯟ꯭ꯖ
একচেঞ্জগী	ꯑꯦꯛꯆꯦꯟ꯭ꯖꯒꯤ
একচ্যুএল	ꯑꯦꯛꯆ꯭ꯌꯨꯑꯦꯜ
একজাম	ꯑꯦꯀꯖꯥꯝ
একজামগী	ꯑꯦꯛꯖꯥꯝꯒꯤ
একজামিনেসন	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟ
একজামিনেসনকী	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯀꯤ
একজামিনেসনগী	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯒꯤ
একজামিনেসনদা	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯗꯥ
একজামিনেসনশিং	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯁꯤꯡ
একজামিনেসনশিংদা	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯁꯤꯡꯗꯥ
একজামিনেসনসু	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯁꯨ
একজামিনেসন্না	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟꯅꯥ
একজামিনেসন্সনা	ꯑꯦꯛꯖꯥꯃꯤꯅꯦꯁꯟ꯭ꯁꯅꯥ
একজিকু্যতিভ	ꯑꯦꯛꯖꯤꯀꯨꯢꯇꯤꯚ
একজিক্যুতিব	ꯑꯦꯛꯖꯤꯀ꯭ꯌꯨꯇꯤꯕ
একজিক্যুতিভ	ꯑꯦꯛꯖꯤꯀ꯭ꯌꯨꯇꯤꯚ
একজিক্যুতিভকী	ꯑꯦꯛꯖꯤꯀ꯭ꯌꯨꯇꯤꯚꯀꯤ
একজিক্যুতিভশিং	ꯑꯦꯛꯖꯤꯀ꯭ꯌꯨꯇꯤꯚꯁꯤꯡ
একজিক্যূতিব	ꯑꯦꯀꯖꯤꯀ꯭ꯌꯨꯇꯤꯕ
একজিট	ꯑꯦꯛꯖꯤꯠ
একজিবিসন	ꯑꯦꯛꯖꯤꯕꯤꯁꯟ
একজিভিসন	ꯑꯦꯛꯖꯤꯚꯤꯁꯟ
একজিষ্টেন্স	ꯑꯦꯛꯖꯤꯁꯇꯦꯟ꯭ꯁ
একজুক্যুতিব	ꯑꯦꯛꯖꯨꯀ꯭ꯌꯨꯇꯤꯕ
একতা	ꯑꯦꯛꯇꯥ
একতিব	ꯑꯦꯛꯇꯤꯕ
একত্রেস	ꯑꯦꯛꯇ꯭ꯔꯦꯁ
একনোলেজ	ꯑꯦꯛꯅꯣꯂꯦꯖ
একমপেনিস্ট	ꯑꯦꯀꯝꯄꯦꯅꯤꯁ꯭ꯇ
একর	ꯑꯦꯀꯔ
একলব্যা	ꯑꯦꯀꯂꯕ꯭ꯌꯥ
একলভিয়া	ꯑꯦꯀꯂꯚꯤꯌꯥ
একসেলেন্স	ꯑꯦꯛꯁꯦꯂꯦꯟ꯭ꯁ
একস্তেনসন	ꯑꯦꯛꯁ꯭ꯇꯦꯟꯁꯟ
একাউন্ট	ꯑꯦꯀꯥꯎꯟ꯭ꯇ
একাউন্টকী	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯀꯤ
একাউন্টকীনা	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯀꯤꯅꯥ
একাউন্টতা	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯇꯥ
একাউন্টশিং	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁꯤꯡ
একাউন্টশিংগী	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁꯤꯡꯒꯤ
একাউন্টশিংদা	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁꯤꯡꯗꯥ
একাউন্টস	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁ
একাউন্টসকী	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁꯀꯤ
একাউন্টসতা	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯁꯇꯥ
একাউন্তটা	ꯑꯦꯀꯥꯎꯟ꯭ꯇꯇꯥ
একাউন্তিং	ꯑꯦꯀꯥꯎꯟꯇꯤꯡ
একাউন্তেন্টস	ꯑꯦꯀꯥꯎꯟꯇꯦꯟ꯭ꯇꯁ
একাডমী	ꯑꯦꯀꯥꯗꯃꯤ
একাডমীক	ꯑꯦꯀꯥꯗꯃꯤꯛ
একাডমীকশিং	ꯑꯦꯀꯥꯗꯃꯤꯛꯁꯤꯡ
একাডমীকসিয়ানশিং	ꯑꯦꯀꯥꯗꯃꯤꯛꯁꯤꯌꯥꯟꯁꯤꯡ
একাডমীক্কী	ꯑꯦꯀꯥꯗꯃꯤꯛꯀꯤ
একাডমীগা	ꯑꯦꯀꯥꯗꯃꯤꯒꯥ
একাডমীগী	ꯑꯦꯀꯥꯗꯃꯤꯒꯤ
একাডমীনা	ꯑꯦꯀꯥꯗꯃꯤꯅꯥ
একাডমীশিংদা	ꯑꯦꯀꯥꯗꯃꯤꯁꯤꯡꯗꯥ
একাডমীসিয়ান	ꯑꯦꯀꯥꯗꯃꯤꯁꯤꯌꯥꯟ
একাডমীয়া	ꯑꯦꯀꯥꯗꯃꯤꯌꯥ
একাদমি	ꯑꯦꯀꯥꯗꯃꯤ
একাদমিক	ꯑꯦꯀꯥꯗꯃꯤꯛ
একাদমিকী	ꯑꯦꯀꯥꯗꯃꯤꯀꯤ
একাদমিক্কী	ꯑꯦꯀꯥꯗꯃꯤꯛꯀꯤ
একাদমিক্স	ꯑꯦꯀꯥꯗꯃꯤꯛ꯭ꯁ
একাদমিগী	ꯑꯦꯀꯥꯗꯃꯤꯒꯤ
একাদমিদা	ꯑꯦꯀꯥꯗꯃꯤꯗꯥ
একাদমিনা	ꯑꯦꯀꯥꯗꯃꯤꯅꯥ
একাদমিসিয়ান	ꯑꯦꯀꯥꯗꯃꯤꯁꯤꯌꯥꯟ
একাদমিয়া	ꯑꯦꯀꯥꯗꯃꯤꯌꯥ
একাদমিয়াশিং	ꯑꯦꯀꯥꯗꯃꯤꯌꯥꯁꯤꯡ
একাদমী	ꯑꯦꯀꯥꯗꯃꯤ
একাদেমি	ꯑꯦꯀꯥꯗꯦꯃꯤ
একাদেমিক	ꯑꯦꯀꯥꯗꯦꯃꯤꯛ
একাদেমিক্স	ꯑꯦꯀꯥꯗꯦꯃꯤꯛ꯭ꯁ
একাদেমিয়া	ꯑꯦꯀꯥꯗꯦꯃꯤꯌꯥ
একাদেমী	ꯑꯦꯀꯥꯗꯦꯃꯤ
একাদেমীক	ꯑꯦꯀꯥꯗꯦꯃꯤꯛ
একাদেমীগী	ꯑꯦꯀꯥꯗꯦꯃꯤꯒꯤ
একাদেমীজ	ꯑꯦꯀꯥꯗꯦꯃꯤꯖ
একাদেমীদা	ꯑꯦꯀꯥꯗꯦꯃꯤꯗꯥ
একাদেমীনা	ꯑꯦꯀꯥꯗꯦꯃꯤꯅꯥ
একাদেমীশিংদা	ꯑꯦꯀꯥꯗꯦꯃꯤꯁꯤꯡꯗꯥ
একাদেমীয়াশিংগা	ꯑꯦꯀꯥꯗꯦꯃꯤꯌꯥꯁꯤꯡꯒꯥ
একিতব	ꯑꯦꯀꯤꯇꯕ
একুইজিসন	ꯑꯦꯀꯨꯢꯖꯤꯁꯟ
একুইটমেন্ট	ꯑꯦꯀꯨꯢꯠꯃꯦꯟ꯭ꯇ
একুভেতরসু	ꯑꯦꯀꯨꯚꯦꯇꯔꯁꯨ
একোর্ড	ꯑꯦꯀꯣꯔ꯭ꯗ
একোর্দ	ꯑꯦꯀꯣꯔ꯭ꯗ
একোর্দকী	ꯑꯦꯀꯣꯔ꯭ꯗꯀꯤ
একোর্দতা	ꯑꯦꯀꯣꯔ꯭ꯗꯇꯥ
একোর্দসু	ꯑꯦꯀꯣꯔ꯭ꯗꯁꯨ
এক্কর	ꯑꯦꯛꯀꯔ
এক্কাউন্ট	ꯑꯦꯛꯀꯥꯎꯟ꯭ꯇ
এক্কাউন্টতা	ꯑꯦꯛꯀꯥꯎꯟ꯭ꯇꯇꯥ
এক্কাউন্টশিং	ꯑꯦꯛꯀꯥꯎꯟ꯭ꯇꯁꯤꯡ
এক্কাউন্টশিংদা	ꯑꯦꯛꯀꯥꯎꯟ꯭ꯇꯁꯤꯡꯗꯥ
এক্কাউন্টেন্টস	ꯑꯦꯛꯀꯥꯎꯟꯇꯦꯟ꯭ꯇꯁ
এক্কোমোদেসন	ꯑꯦꯛꯀꯣꯃꯣꯗꯦꯁꯟ
এক্ট	ꯑꯦꯛ꯭ꯇ
এক্টকী	ꯑꯦꯛ꯭ꯇꯀꯤ
এক্টকীনি	ꯑꯦꯛ꯭ꯇꯀꯤꯅꯤ
এক্টনচিংবা	ꯑꯦꯛ꯭ꯇꯅꯆꯤꯡꯕꯥ
এক্টনি	ꯑꯦꯛ꯭ꯇꯅꯤ
এক্টপু	ꯑꯦꯛ꯭ꯇꯄꯨ
এক্টর	ꯑꯦꯛꯇꯔ
এক্টশিং	ꯑꯦꯛ꯭ꯇꯁꯤꯡ
এক্টশিংগী	ꯑꯦꯛ꯭ꯇꯁꯤꯡꯒꯤ
এক্টিং	ꯑꯦꯛꯇꯤꯡ
এক্ট্রেস	ꯑꯦꯛꯇ꯭ꯔꯦꯁ
এক্ত	ꯑꯦꯛ꯭ꯇ
এক্তর	ꯑꯦꯛꯇꯔ
এক্তরগী	ꯑꯦꯛꯇꯔꯒꯤ
এক্তরশিং	ꯑꯦꯛꯇꯔꯁꯤꯡ
এক্তা	ꯑꯦꯛꯇꯥ
এক্তাগী	ꯑꯦꯛꯇꯥꯒꯤ
এক্তি	ꯑꯦꯛꯇꯤ
এক্তিং	ꯑꯦꯛꯇꯤꯡ
এক্তিব	ꯑꯦꯛꯇꯤꯕ
এক্তিবিষ্ট	ꯑꯦꯛꯇꯤꯕꯤꯁ꯭ꯇ
এক্তিভ	ꯑꯦꯛꯇꯤꯚ
এক্তিভকী	ꯑꯦꯛꯇꯤꯚꯀꯤ
এক্তিভা	ꯑꯦꯛꯇꯤꯚꯥ
এক্তিভাদা	ꯑꯦꯛꯇꯤꯚꯥꯗꯥ
এক্তিভিতি	ꯑꯦꯛꯇꯤꯚꯤꯇꯤ
এক্তিভিতিগী	ꯑꯦꯛꯇꯤꯚꯤꯇꯤꯒꯤ
এক্তিভিতিজ	ꯑꯦꯛꯇꯤꯚꯤꯇꯤꯖ
এক্তিভিতিজশিং	ꯑꯦꯛꯇꯤꯚꯤꯇꯤꯖꯁꯤꯡ
এক্তিভিতিশিং	ꯑꯦꯛꯇꯤꯚꯤꯇꯤꯁꯤꯡ
এক্তিভিতিসগী	ꯑꯦꯛꯇꯤꯚꯤꯇꯤꯁꯒꯤ
এক্তিভিষ্ট	ꯑꯦꯛꯇꯤꯚꯤꯁ꯭ꯇ
এক্তিভিষ্টকী	ꯑꯦꯛꯇꯤꯚꯤꯁ꯭ꯇꯀꯤ
এক্তিভিষ্টশিংনা	ꯑꯦꯛꯇꯤꯚꯤꯁ꯭ꯇꯁꯤꯡꯅꯥ
এক্তিভিসন	ꯑꯦꯛꯇꯤꯚꯤꯁꯟ
এক্তিম	ꯑꯦꯛꯇꯤꯝ
এক্তিসভ	ꯑꯦꯛꯇꯤꯁꯚ
এক্ত্রেস	ꯑꯦꯛꯇ꯭ꯔꯦꯁ
এক্ত্রেসকী	ꯑꯦꯛꯇ꯭ꯔꯦꯁꯀꯤ
এক্বা	ꯑꯦꯀ꯭ꯋꯥ
এক্বাটিক	ꯑꯦꯀ꯭ꯋꯥꯇꯤꯛ
এক্বাতিক	ꯑꯦꯀ꯭ꯋꯥꯇꯤꯛ
এক্বাসটিক্স	ꯑꯦꯀ꯭ꯋꯥꯁꯇꯤꯛ꯭ꯁ
এক্বয়ার	ꯑꯦꯀ꯭ꯋꯌꯥꯔ
এক্যলব্যা	ꯑꯦꯀ꯭ꯌꯂꯕ꯭ꯌꯥ
এক্যুইজিসন	ꯑꯦꯀ꯭ꯌꯨꯢꯖꯤꯁꯟ
এক্যুইট	ꯑꯦꯀ꯭ꯌꯨꯢꯠ
এক্যুট	ꯑꯦꯀ꯭ꯌꯨꯠ
এক্যূজ	ꯑꯦꯀ꯭ꯌꯨꯖ
এক্রিদিটেসন	ꯑꯦꯀ꯭ꯔꯤꯗꯤꯇꯦꯁꯟ
এক্রিদিটেসনগী	ꯑꯦꯀ꯭ꯔꯤꯗꯤꯇꯦꯁꯟꯒꯤ
এক্রিদিতেদ	ꯑꯦꯀ꯭ꯔꯤꯗꯤꯇꯦꯗ
এক্রিদিতেসন	ꯑꯦꯀ꯭ꯔꯤꯗꯤꯇꯦꯁꯟ
এক্রিদিতেসনগী	ꯑꯦꯀ꯭ꯔꯤꯗꯤꯇꯦꯁꯟꯒꯤ
এক্রেদিতেদ	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯇꯦꯗ
এক্রেদিতেসন	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯇꯦꯁꯟ
এক্রেদিসন	ꯑꯦꯀ꯭ꯔꯦꯗꯤꯁꯟ
এক্লভিয়	ꯑꯦꯛꯂꯚꯤꯌ
এক্লভিয়া	ꯑꯦꯛꯂꯚꯤꯌꯥ
এক্স	ꯑꯦꯛ꯭ꯁ
