অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অহিংনচিংবা	ꯑꯍꯤꯡꯅꯆꯤꯡꯕꯥ
অহিংশা	ꯑꯍꯤꯡꯁꯥ
অহিংশাগী	ꯑꯍꯤꯡꯁꯥꯒꯤ
অহিংশানা	ꯑꯍꯤꯡꯁꯥꯅꯥ
অহিংশিং	ꯑꯍꯤꯡꯁꯤꯡ
অৱা	ꯑꯋꯥ
অৱাং	ꯑꯋꯥꯡ
অৱাংদা	ꯑꯋꯥꯡꯗꯥ
অৱাংবা	ꯑꯋꯥꯡꯕꯥ
অৱাংলোংমদা	ꯑꯋꯥꯡꯂꯣꯝꯗꯥ
অৱান	ꯑꯋꯥꯟ
অৱাব	ꯑꯋꯥꯕ
অৱাবগী	ꯑꯋꯥꯕꯒꯤ
অৱাবদসু	ꯑꯋꯥꯕꯗꯁꯨ
অৱাবদা	ꯑꯋꯥꯕꯗꯥ
অৱাবদু	ꯑꯋꯥꯕꯗꯨ
অৱাবশিং	ꯑꯋꯥꯕꯁꯤꯡ
অৱাবা	ꯑꯋꯥꯕꯥ
অৱাবাদা	ꯑꯋꯥꯕꯥꯗꯥ
অৱাৎ	ꯑꯋꯥꯠ
অৱাৎপ	ꯑꯋꯥꯠꯄ
অৱাৎপনা	ꯑꯋꯥꯠꯄꯅꯥ
অৱাৎপশিং	ꯑꯋꯥꯠꯄꯁꯤꯡ
অৱাৎপা	ꯑꯋꯥꯠꯄꯥ
থাজৈ	ꯊꯥꯖꯩ
থাদখি	ꯊꯥꯗꯈꯤ
থাদখিবনি	ꯊꯥꯗꯈꯤꯕꯅꯤ
থাদখিবা	ꯊꯥꯗꯈꯤꯕꯥ
থাদখ্রে	ꯊꯥꯗꯈꯔꯦ
থাদগদবনি	ꯊꯥꯗꯒꯗꯕꯅꯤ
থাদগদবা	ꯊꯥꯗꯒꯗꯕꯥ
থাদগদৌরি	ꯊꯥꯗꯒꯗꯧꯔꯤ
থাদগদৌরিবা	ꯊꯥꯗꯒꯗꯧꯔꯤꯕꯥ
থাদগনি	ꯊꯥꯗꯒꯅꯤ
থাদগী	ꯊꯥꯗꯒꯤ
থাদগীনা	ꯊꯥꯗꯒꯤꯅꯥ
থাদদনবা	ꯊꯥꯗꯗꯅꯕꯥ
থাদদি	ꯊꯥꯗꯗꯤ
থাদদুনা	ꯊꯥꯗꯗꯨꯅꯥ
থাদদে	ꯊꯥꯗꯗꯦ
থাদনখি	ꯊꯥꯗꯅꯈꯤ
থাদনখিদে	ꯊꯥꯗꯅꯈꯤꯗꯦ
থাদনখিবগী	ꯊꯥꯗꯅꯈꯤꯕꯒꯤ
থাদনখিবগীদমক	ꯊꯥꯗꯅꯈꯤꯕꯒꯤꯗꯃꯛ
থাদনখিবদা	ꯊꯥꯗꯅꯈꯤꯕꯗꯥ
থাদনখিবনি	ꯊꯥꯗꯅꯈꯤꯕꯅꯤ
থাদনখিবশিংগী	ꯊꯥꯗꯅꯈꯤꯕꯁꯤꯡꯒꯤ
থাদনখিবা	ꯊꯥꯗꯅꯈꯤꯕꯥ
থাদনখ্রবা	ꯊꯥꯗꯅꯈ꯭ꯔꯕꯥ
থাদনখ্রে	ꯊꯥꯗꯅꯈ꯭ꯔꯦ
থাদনগদবনি	ꯊꯥꯗꯅꯒꯗꯕꯅꯤ
থাদনগদবা	ꯊꯥꯗꯅꯒꯗꯕꯥ
থাদনগদৌরিবা	ꯊꯥꯗꯅꯒꯗꯧꯔꯤꯕꯥ
থাদনগনি	ꯊꯥꯗꯅꯒꯅꯤ
থাদননবগীদমক	ꯊꯥꯗꯟꯅꯕꯒꯤꯗꯃꯛ
থাদননবা	ꯊꯥꯗꯅꯅꯕꯥ
থাদনবগা	ꯊꯥꯗꯅꯕꯒꯥ
থাদনবগী	ꯊꯥꯗꯅꯕꯒꯤ
থাদনবগীদমক	ꯊꯥꯗꯅꯕꯒꯤꯗꯃꯛ
থাদনবসু	ꯊꯥꯗꯅꯕꯁꯨ
থাদনবা	ꯊꯥꯗꯅꯕꯥ
থাদনরগনি	ꯊꯥꯗꯅꯔꯒꯅꯤ
থাদনরগা	ꯊꯥꯗꯅꯔꯒꯥ
থাদনরবা	ꯊꯥꯗꯅꯔꯕꯥ
থাদনরি	ꯊꯥꯗꯅꯔꯤ
থাদনরিঙৈ	ꯊꯥꯗꯅꯔꯤꯉꯩ
থাদনরিবা	ꯊꯥꯗꯅꯔꯤꯕꯥ
থাদনা	ꯊꯥꯗꯅꯥ
থাদনি	ꯊꯥꯗꯅꯤ
থাদনিংবগী	ꯊꯥꯗꯅꯤꯡꯕꯒꯤ
থাদনিংলবদি	ꯊꯥꯗꯅꯤꯡꯂꯕꯗꯤ
থাদফম	ꯊꯥꯗꯐꯝ
থাদবগা	ꯊꯥꯗꯕꯒꯥ
থাদবগী	ꯊꯥꯗꯕꯒꯤ
থাদবদগী	ꯊꯥꯗꯕꯗꯒꯤ
থাদবদা	ꯊꯥꯗꯕꯗꯥ
থাদবনা	ꯊꯥꯗꯕꯅꯥ
থাদবনি	ꯊꯥꯗꯕꯅꯤ
থাদবসু	ꯊꯥꯗꯕꯁꯨ
থাদবা	ꯊꯥꯗꯕꯥ
থাদবিনবা	ꯊꯥꯗꯕꯤꯅꯕꯥ
থাদবীনবসু	ꯊꯥꯗꯕꯤꯅꯕꯁꯨ
থাদবীনবা	ꯊꯥꯗꯕꯤꯅꯕꯥ
থাদরকখি	ꯊꯥꯗꯔꯛꯈꯤ
থাদরকখিবা	ꯊꯥꯗꯔꯛꯈꯤꯕꯥ
থাদরকপগী	ꯊꯥꯗꯔꯛꯄꯒꯤ
থাদরকপদসু	ꯊꯥꯗꯔꯛꯄꯗꯁꯨ
থাদরকপদা	ꯊꯥꯗꯔꯛꯄꯗꯥ
থাদরকপা	ꯊꯥꯗꯔꯛꯄꯥ
থাদরক্কী	ꯊꯥꯗꯔꯛꯀꯤ
থাদরক্নবগী	ꯊꯥꯗꯔꯛꯅꯕꯒꯤ
থাদরক্লি	ꯊꯥꯗꯔꯛꯂꯤ
থাদরগনি	ꯊꯥꯗꯔꯒꯅꯤ
থাদরবদি	ꯊꯥꯗꯔꯕꯗꯤ
থাদরবা	ꯊꯥꯗꯔꯕꯥ
থাদরমগদবনি	ꯊꯥꯗꯔꯝꯒꯗꯕꯅꯤ
থাদরম্বা	ꯊꯥꯗꯔꯝꯕꯥ
থাদরি	ꯊꯥꯗꯔꯤ
থাদরিবশিংগা	ꯊꯥꯗꯔꯤꯕꯁꯤꯡꯒꯥ
থাদরিবশিংগী	ꯊꯥꯗꯔꯤꯕꯁꯤꯡꯒꯤ
থাদরিবা	ꯊꯥꯗꯔꯤꯕꯥ
থাদরুবদগী	ꯊꯥꯗꯔꯨꯕꯗꯒꯤ
থাদরে	ꯊꯥꯗꯔꯦ
থাদহনদনবা	ꯊꯥꯗꯍꯟꯗꯅꯕꯥ
থাদহনদুনা	ꯊꯥꯗꯍꯟꯗꯨꯅꯥ
থাদহনবা	ꯊꯥꯗꯍꯟꯕꯥ
থাদহন্দনবসু	ꯊꯥꯗꯍꯟꯗꯅꯕꯁꯨ
থাদহন্নবগী	ꯊꯥꯗꯍꯟꯅꯕꯒꯤ
থাদহন্নবা	ꯊꯥꯗꯍꯟꯅꯕꯥ
থাদহন্নিংবগী	ꯊꯥꯗꯍꯟꯅꯤꯡꯕꯒꯤ
থাদহন্নীংবগী	ꯊꯥꯗꯍꯟꯅꯤꯡꯕꯒꯤ
থাদহল্লম্বনি	ꯊꯥꯗꯍꯜꯂꯝꯕꯅꯤ
থাদা	ꯊꯥꯗꯥ
থাদুনা	ꯊꯥꯗꯨꯅꯥ
থাদোক	ꯊꯥꯗꯣꯛ
থাদোকউ	ꯊꯥꯗꯣꯛꯎ
থাদোকখি	ꯊꯥꯗꯣꯛꯈꯤ
থাদোকখিগনি	ꯊꯥꯗꯣꯛꯈꯤꯒꯅꯤ
থাদোকখিদে	ꯊꯥꯗꯣꯛꯈꯤꯗꯦ
থাদোকখিবগা	ꯊꯥꯗꯣꯛꯈꯤꯕꯒꯥ
থাদোকখিবদগী	ꯊꯥꯗꯣꯛꯈꯤꯕꯗꯒꯤ
থাদোকখিবনি	ꯊꯥꯗꯣꯛꯈꯤꯕꯅꯤ
থাদোকখিবা	ꯊꯥꯗꯣꯛꯈꯤꯕꯥ
থাদোকখ্রবা	ꯊꯥꯗꯣꯛꯈ꯭ꯔꯕꯥ
থাদোকখ্রে	ꯊꯥꯗꯣꯛꯈ꯭ꯔꯦ
থাদোকচবনি	ꯊꯥꯗꯣꯛꯆꯕꯅꯤ
থাদোকনদুনা	ꯊꯥꯗꯣꯛꯅꯗꯨꯅꯥ
থাদোকনবা	ꯊꯥꯗꯣꯛꯅꯕꯥ
থাদোকপগা	ꯊꯥꯗꯣꯛꯄꯒꯥ
থাদোকপগী	ꯊꯥꯗꯣꯛꯄꯒꯤ
থাদোকপদা	ꯊꯥꯗꯣꯛꯄꯗꯥ
থাদোকপনি	ꯊꯥꯗꯣꯛꯄꯅꯤ
থাদোকপসু	ꯊꯥꯗꯣꯛꯄꯁꯨ
থাদোকপা	ꯊꯥꯗꯣꯛꯄꯥ
থাদোকপীদুনা	ꯊꯥꯗꯣꯛꯄꯤꯗꯨꯅꯥ
থাদোকপীনবা	ꯊꯥꯗꯣꯛꯄꯤꯅꯕꯥ
থাদোকপীরক্নবা	ꯊꯥꯗꯣꯛꯄꯤꯔꯛꯅꯕꯥ
থাদোকপীয়ু	ꯊꯥꯗꯣꯛꯄꯤꯌꯨ
থাদোকলগনি	ꯊꯥꯗꯣꯛꯂꯒꯅꯤ
থাদোকলগা	ꯊꯥꯗꯣꯛꯂꯒꯥ
থাদোকলবা	ꯊꯥꯗꯣꯛꯂꯕꯥ
থাদোকলম্বনি	ꯊꯥꯗꯣꯛꯂꯝꯕꯅꯤ
থাদোকলম্বা	ꯊꯥꯗꯣꯛꯂꯕꯥ
থাদোকলে	ꯊꯥꯗꯣꯛꯂꯦ
থাদোকহন্ননবা	ꯊꯥꯗꯣꯛꯍꯟꯅꯅꯕꯥ
থাদোক্কদবনি	ꯊꯥꯗꯣꯛꯀꯗꯕꯅꯤ
থাদোক্কনি	ꯊꯥꯗꯣꯛꯀꯅꯤ
থাদোক্তবগী	ꯊꯥꯗꯣꯛꯇꯕꯒꯤ
থাদোক্তুনা	ꯊꯥꯗꯣꯛꯇꯨꯅꯥ
থাদোক্তে	ꯊꯥꯗꯣꯛꯇꯦ
থাদোক্ত্রবদি	ꯊꯥꯗꯣꯛꯇꯔ꯭ꯕꯗꯤ
থাদোক্ত্রিঙৈ	ꯊꯥꯗꯣꯛꯇꯔꯤꯉꯩ
থাদোক্নদুনা	ꯊꯥꯗꯣꯛꯅꯗꯨꯅꯥ
থাদোক্ননবা	ꯊꯥꯗꯣꯛꯅꯅꯕꯥ
থাদোক্নবগী	ꯊꯥꯗꯣꯛꯅꯕꯒꯤ
থাদোক্নবগীদমক	ꯊꯥꯗꯣꯛꯅꯕꯒꯤꯗꯃꯛ
থাদোক্নবগীদমকনি	ꯊꯥꯗꯣꯛꯅꯕꯒꯤꯗꯃꯛꯅꯤ
থাদোক্নবসু	ꯊꯥꯗꯣꯛꯅꯕꯁꯨ
থাদোক্নবা	ꯊꯥꯗꯣꯛꯅꯕꯥ
থাদোক্পগী	ꯊꯥꯗꯣꯛꯄꯒꯤ
থাদোক্লগদবা	ꯊꯥꯗꯣꯛꯂꯒꯗꯕꯥ
থাদোক্লগনি	ꯊꯥꯗꯣꯛꯂꯒꯅꯤ
থাদোক্লগা	ꯊꯥꯗꯣꯛꯂꯒꯥ
থাদোক্লবদি	ꯊꯥꯗꯣꯛꯂꯕꯗꯤ
থাদোক্লবা	ꯊꯥꯗꯣꯛꯂꯕ
থাদোক্লি	ꯊꯥꯗꯣꯛꯂꯤ
থাদোক্লিবনি	ꯊꯥꯗꯣꯛꯂꯤꯕꯅꯤ
থাদোক্লিবা	ꯊꯥꯗꯣꯛꯂꯤꯕꯥ
থাদোক্লে	ꯊꯥꯗꯣꯛꯂꯦ
থাদোরকখিবনি	ꯊꯥꯗꯣꯔꯛꯈꯤꯕꯅꯤ
থাদোরকখিবা	ꯊꯥꯗꯣꯔꯛꯈꯤꯕꯥ
থাদোরকখ্রবা	ꯊꯥꯗꯣꯔꯛꯈ꯭ꯔꯕꯥ
থাদোরকখ্রে	ꯊꯥꯗꯣꯔꯛꯈꯔꯦ
থাদোরকনবা	ꯊꯥꯗꯣꯔꯛꯅꯕꯥ
থাদোরকপগা	ꯊꯥꯗꯣꯔꯛꯄꯒꯥ
থাদোরকপগী	ꯊꯥꯗꯣꯔꯛꯄꯒꯤ
থাদোরকপদা	ꯊꯥꯗꯣꯔꯛꯄꯗꯥ
থাদোরকপা	ꯊꯥꯗꯣꯔꯛꯄꯥ
থাদোরক্কনি	ꯊꯥꯗꯣꯔꯛꯀꯅꯤ
থাদোরক্নবা	ꯊꯥꯗꯣꯔꯛꯅꯕꯥ
থাদোরক্লবদি	ꯊꯥꯗꯣꯔꯛꯂꯕꯗꯤ
থাদোরক্লে	ꯊꯥꯗꯣꯔꯛꯂꯦ
থাদোাক্তুনা	ꯊꯥꯗꯣꯛꯇꯨꯅꯥ
থাদ্রবদি	ꯊꯥꯗ꯭ꯔꯕꯗꯤ
থাদ্রবসু	ꯊꯥꯗ꯭ꯔꯕꯁꯨ
থান্দুনা	ꯊꯥꯟꯗꯨꯅꯥ
থাপগৎপা	ꯊꯥꯞꯒꯠꯄꯥ
থাপতোকখিগনি	ꯊꯥꯞꯇꯣꯛꯈꯤꯒꯅꯤ
থাপ্ননা	ꯊꯥꯞꯅꯅꯥ
থাপ্না	ꯊꯥꯞꯅꯥ
থাপ্লবা	ꯊꯥꯄꯂꯕꯥ
থাফমশিং	ꯊꯥꯐꯝꯁꯤꯡ
থারোই	ꯊꯥꯔꯣꯏ
থারোইদবনি	ꯊꯥꯔꯣꯏꯗꯕꯅꯤ
থার্দ	ꯊꯥꯔꯗ
থালোন	ꯊꯥꯂꯣꯟ
থাহৌবনা	ꯊꯥꯍꯧꯕꯅꯥ
থুংখি	ꯊꯨꯡꯈꯤ
থুংখ্রবনি	ꯊꯨꯡꯈ꯭ꯔꯕꯅꯤ
থুংগদৌরিবা	ꯊꯨꯡꯒꯗꯧꯔꯤꯕꯥ
থুংগনি	ꯊꯨꯡꯒꯅꯤ
থুংনবা	ꯊꯨꯡꯅꯕꯥ
থুংনরগনি	ꯊꯨꯡꯅꯔꯒꯅꯤ
থুংনা	ꯊꯨꯡꯅꯥ
থুক	ꯊꯨꯛ
থুগাই	ꯊꯨꯒꯥꯏ
থুগাইখি	ꯊꯨꯒꯥꯏꯈꯤ
থুগাইখিবনি	ꯊꯨꯒꯥꯏꯈꯤꯕꯅꯤ
থুগাইদুনা	ꯊꯨꯒꯥꯏꯗꯨꯅꯥ
থুগাইনবা	ꯊꯨꯒꯥꯏꯅꯕꯥ
থুগাইবগী	ꯊꯨꯒꯥꯏꯕꯒꯤ
থুগাইবগীদমক	ꯊꯨꯒꯥꯏꯕꯒꯤꯗꯃꯛ
থুগাইবগীনা	ꯊꯨꯒꯥꯏꯕꯒꯤꯅꯥ
থুগাইবতা	ꯊꯨꯒꯥꯏꯕꯇꯥ
থুগাইবশিং	ꯊꯨꯒꯥꯏꯕꯁꯤꯡ
থুগাইবশিংগী	ꯊꯨꯒꯥꯏꯕꯁꯤꯡꯒꯤ
থুগাইবশিংদগী	ꯊꯨꯒꯥꯏꯕꯁꯤꯡꯗꯒꯤ
থুগাইবা	ꯊꯨꯒꯥꯏꯕꯥ
থুগাইরগা	ꯊꯨꯒꯥꯏꯔꯒꯥ
থুগাইরবদি	ꯊꯨꯒꯥꯏꯔꯕꯗꯤ
থুগাইরে	ꯊꯨꯒꯥꯏꯔꯦ
থুগায়খি	ꯊꯨꯒꯥꯏꯈꯤ
থুগায়খিবনি	ꯊꯨꯒꯥꯏꯈꯤꯕꯅꯤ
থুগায়খ্রে	ꯊꯨꯒꯥꯏꯈꯔꯦ
থুগায়দুনা	ꯊꯨꯒꯥꯏꯗꯨꯅꯥ
থুগায়বগী	ꯊꯨꯒꯥꯏꯕꯒꯤ
থুগায়বগীদমক	ꯊꯨꯒꯥꯏꯕꯒꯤꯗꯃꯛ
থুগায়বশিংগী	ꯊꯨꯒꯥꯏꯕꯁꯤꯡꯒꯤ
থুগায়বশিংবু	ꯊꯨꯒꯥꯏꯕꯁꯤꯡꯕꯨ
থুগায়বা	ꯊꯨꯒꯥꯏꯕꯥ
থুগায়রবদি	ꯊꯨꯒꯥꯏꯔꯕꯗꯤ
থুজিনহনগনি	ꯊꯨꯖꯤꯟꯍꯟꯒꯅꯤ
থুজিনহল্লে	ꯊꯨꯖꯤꯟꯍꯜꯂꯦ
থুনা	ꯊꯨꯅꯥ
ধর	ꯙꯔ
ধরতি	ꯙꯔꯇꯤ
ধরনা	ꯙꯔꯅꯥ
ধাবা	ꯙꯥꯕꯥ
ধাবি	ꯙꯥꯕꯤ
ধাবীগী	ꯙꯥꯕꯤꯒꯤ
ধাম	ꯙꯥꯝ
ধামগী	ꯙꯥꯝꯒꯤ
ধামদা	ꯙꯥꯝꯗꯥ
ধামীনা	ꯙꯥꯃꯤꯅꯥ
ধারনা	ꯙꯥꯔꯅꯥ
পন্দুনা	ꯄꯟꯗꯨꯅꯥ
যাত্র	ꯖꯥꯇ꯭ꯔ
যাত্রসু	ꯖꯥꯇ꯭ꯔꯁꯨ
যাত্রা	ꯖꯥꯇ꯭ꯔꯥ
যাত্রাগী	ꯖꯥꯇ꯭ꯔꯥꯒꯤ
যাত্রানচিংবা	ꯖꯥꯇ꯭ꯔꯥꯅꯆꯤꯡꯕꯥ
যাত্রাসু	ꯖꯥꯇ꯭ꯔꯥꯁꯨ
যাত্রাৱালিনচিংবা	ꯖꯥꯇ꯭ꯔꯥꯋꯥꯂꯤꯅꯆꯤꯡꯕꯥ
যাত্রি	ꯖꯥꯇ꯭ꯔꯤ
যাত্রিকশিংনা	ꯖꯥꯇ꯭ꯔꯤꯛꯁꯤꯡꯅꯥ
যাত্রিকশিংবু	ꯖꯥꯇ꯭ꯔꯤꯛꯁꯤꯡꯕꯨ
যাত্রিশিংগা	ꯖꯥꯇ꯭ꯔꯤꯁꯤꯡꯒꯥ
যুবরাজ	ꯖꯨꯕꯔꯥꯖ
লইনা	ꯂꯏꯅꯥ
লক্ষমবর্ক	ꯂꯛꯁꯃꯕꯔꯀ
লম	ꯂꯝ
লমখক্তদা	ꯂꯝꯈꯛꯇꯗꯥ
লমগা	ꯂꯝꯒꯥ
লমগী	ꯂꯝꯒꯤ
লমচৎ	ꯂꯝꯆꯠ
লমজাউ	ꯂꯝꯖꯥꯎ
লমজাউগী	ꯂꯝꯖꯥꯎꯒꯤ
লমজাউদা	ꯂꯝꯖꯥꯎꯗꯥ
লমজাও	ꯂꯝꯖꯥꯎ
লমজিং	ꯂꯝꯖꯤꯡ
লমজিংগদবা	ꯂꯝꯖꯤꯡꯒꯗꯕꯥ
লমজিংগী	ꯂꯝꯖꯤꯡꯒꯤ
লমজিংঙি	ꯂꯝꯖꯤꯡꯉꯤ
লমজিংদুনা	ꯂꯝꯖꯤꯡꯗꯨꯅꯥ
লমজিংনবা	ꯂꯝꯖꯤꯡꯅꯕꯥ
লমজিংবগী	ꯂꯝꯖꯤꯡꯕꯒꯤ
লমজিংবনি	ꯂꯝꯖꯤꯡꯕꯅꯤ
লমজিংবা	ꯂꯝꯖꯤꯡꯕꯥ
লমজিংবিদ্রবদি	ꯂꯝꯖꯤꯡꯕꯤꯗꯔ꯭ꯕꯗꯤ
লমজিংবীদুনা	ꯂꯝꯖꯤꯡꯕꯤꯗꯨꯅꯥ
লমজিংবীরম্বা	ꯂꯝꯖꯤꯡꯕꯤꯔꯝꯕꯥ
লমজিংবীরে	ꯂꯝꯖꯤꯡꯕꯤꯔꯦ
লমজিংলি	ꯂꯝꯖꯤꯡꯂꯤ
লমজিংলে	ꯂꯝꯖꯤꯡꯂꯦ
লমজেন	ꯂꯝꯖꯦꯟ
লমজেল	ꯂꯝꯖꯦꯜ
লমজেলগী	ꯂꯝꯖꯦꯜꯒꯤ
লমজেলদসু	ꯂꯝꯖꯦꯜꯗꯁꯨ
লমজেলদা	ꯂꯝꯖꯦꯜꯗꯥ
লমজেলসু	ꯂꯝꯖꯦꯜꯁꯨ
লমতা	ꯂꯝꯇꯥ
লমতাই	ꯂꯝꯇꯥꯏ
লমতাক	ꯂꯝꯇꯥꯛ
লমতাকপীনবসু	ꯂꯝꯇꯥꯛꯄꯤꯅꯕꯁꯨ
লমতাকপীবা	ꯂꯝꯇꯥꯛꯄꯤꯕꯥ
লমতাক্কনি	ꯂꯝꯇꯥꯛꯀꯅꯤ
লমতাক্কী	ꯂꯝꯇꯥꯛꯀꯤ
লমতাক্তুনা	ꯂꯝꯇꯥꯛꯇꯨꯅꯥ
লমথাখি	ꯂꯝꯊꯥꯈꯤ
লমথাখিবনি	ꯂꯝꯊꯥꯈꯤꯕꯅꯤ
লমথাখিবা	ꯂꯝꯊꯥꯈꯤꯕꯥ
লমথাখ্রবা	ꯂꯝꯊꯥꯈꯔ꯭ꯕꯥ
লমথাখ্রে	ꯂꯝꯊꯥꯈꯔꯦ
লমথাগনি	ꯂꯝꯊꯥꯒꯅꯤ
লমথাদুনা	ꯂꯝꯊꯥꯗꯨꯅꯥ
লমথাবগা	ꯂꯝꯊꯥꯕꯒꯥ
লমথাবগী	ꯂꯝꯊꯥꯕꯒꯤ
লমথাবা	ꯂꯝꯊꯥꯕꯥ
লমথারকলগা	ꯂꯝꯊꯥꯔꯛꯂꯒꯥ
লমথারগনি	ꯂꯝꯊꯥꯔꯒꯅꯤ
লমথারদুনা	ꯂꯝꯊꯥꯔꯗꯨꯅꯥ
লমথারবা	ꯂꯝꯊꯥꯔꯕꯥ
লমদগী	ꯂꯝꯗꯒꯤ
লমদগীসু	ꯂꯝꯗꯒꯤꯁꯨ
লমদতা	ꯂꯝꯗꯇꯥ
লমদদি	ꯂꯝꯗꯗꯤ
লমদনা	ꯂꯝꯗꯅꯥ
লমদনি	ꯂꯝꯗꯅꯤ
লমদম	ꯂꯝꯗꯝ
লমদমগা	ꯂꯝꯗꯝꯒꯥ
লমদমগী	ꯂꯝꯗꯝꯒꯤ
লমদমগীদমক	ꯂꯝꯗꯝꯒꯤꯗꯃꯛ
লমদমদ	ꯂꯝꯗꯝꯗ
লমদমদগী	ꯂꯝꯗꯝꯗꯒꯤ
লমদমদদি	ꯂꯝꯗꯝꯗꯗꯤ
লমদমদনা	ꯂꯝꯗꯝꯗꯅꯥ
লমদমদসু	ꯂꯝꯗꯝꯗꯁꯨ
লমদমদা	ꯂꯝꯗꯝꯗꯥ
লমদমদুগী	ꯂꯝꯗꯝꯗꯨꯒꯤ
লমদমনা	ꯂꯝꯗꯝꯅꯥ
লমদমনি	ꯂꯝꯗꯝꯅꯤ
লমদমবু	ꯂꯝꯗꯝꯕꯨ
লমদমশিং	ꯂꯝꯗꯝꯁꯤꯡ
লমদমশিংগী	ꯂꯝꯗꯝꯁꯤꯡꯒꯤ
লমদমশিংদা	ꯂꯝꯗꯝꯁꯤꯡꯗꯥ
লমদমশিগী	ꯂꯝꯗꯝꯁꯤꯒꯤ
লমদমসিগী	ꯂꯝꯗꯝꯁꯤꯒꯤ
লমদমসিদগী	ꯂꯝꯗꯝꯁꯤꯗꯒꯤ
লমদমসিদা	ꯂꯝꯗꯝꯁꯤꯗꯥ
লমদমসিবু	ꯂꯝꯗꯝꯁꯤꯕꯨ
লমদমা	ꯂꯝꯗꯃꯥ
লমদসু	ꯂꯝꯗꯁꯨ
লমদা	ꯂꯝꯗꯥ
লমদাংমৈ	ꯂꯝꯗꯥꯡꯃꯩ
লমদাই	ꯂꯝꯗꯥꯏ
লমদানদা	ꯂꯝꯗꯥꯅꯗꯥ
লমদি	ꯂꯝꯗꯤ
লমদুদা	ꯂꯝꯗꯨꯗꯥ
লমন	ꯂꯝꯅ
লমনগী	ꯂꯝꯅꯒꯤ
লমনচিংবদসু	ꯂꯝꯅꯆꯤꯡꯕꯗꯁꯨ
লমনচিংবা	ꯂꯝꯅꯆꯤꯡꯕꯥ
লমনশিং	ꯂꯝꯅꯁꯤꯡ
লমনশিংগা	ꯂꯝꯅꯁꯤꯡꯒꯥ
লমনশিংগী	ꯂꯝꯅꯁꯤꯡꯒꯤ
লমনশিংদা	ꯂꯝꯅꯁꯤꯡꯡꯗꯥ
লমনশিংবু	ꯂꯝꯅꯁꯤꯡꯕꯨ
লমনা	ꯂꯝꯅꯥ
লমবী	ꯂꯝꯕꯤ
লমবু	ꯂꯝꯕꯨ
লমলক্কী	ꯂꯝꯂꯛꯀꯤ
লমলাং	ꯂꯝꯂꯥꯡ
লমশিং	ꯂꯝꯁꯤꯡ
লমশিংগী	ꯂꯝꯁꯤꯡꯒꯤ
লমশিংদ	ꯂꯝꯁꯤꯡꯗ
লমশিংদগী	ꯂꯝꯁꯤꯡꯗꯒꯤ
লমশিংদনা	ꯂꯝꯁꯤꯡꯗꯅꯥ
লমশিংদসু	ꯂꯝꯁꯤꯡꯗꯁꯨ
লমশিংদা	ꯂꯝꯁꯤꯡꯗꯥ
লমশিংনি	ꯂꯝꯁꯤꯡꯡꯅꯤ
লমশিংবু	ꯂꯝꯁꯤꯡꯕꯨ
লমসিদা	ꯂꯝꯁꯤꯗꯥ
লমহাং	ꯂꯝꯍꯥꯡ
লমহাংশিংদা	ꯂꯝꯍꯥꯡꯁꯤꯡꯗꯥ
লমহাই	ꯂꯝꯍꯥꯏ
লম্নলাইনা	ꯂꯝꯅꯂꯥꯏꯅꯥ
লম্পক্তা	ꯂꯝꯄꯛꯇꯥ
লম্পাক	ꯂꯝꯄꯥꯛ
লম্পাক্কী	ꯂꯝꯄꯥꯛꯀꯤ
লম্পাক্তগী	ꯂꯝꯄꯥꯛꯇꯒꯤ
লম্পাক্তা	ꯂꯝꯄꯥꯛꯇꯥ
লম্বা	ꯂꯝꯕꯥ
লম্বাবু	ꯂꯝꯕꯥꯕꯨ
লম্বাশিংগা	ꯂꯝꯕꯥꯁꯤꯡꯒꯥ
লম্বাশিংবু	ꯂꯝꯕꯥꯁꯤꯡꯕꯨ
লম্বী	ꯂꯝꯕꯤ
লম্বীগী	ꯂꯝꯕꯤꯒꯤ
লম্বীগীদি	ꯂꯝꯕꯤꯒꯤꯗꯤ
লম্বীগীনা	ꯂꯝꯕꯤꯒꯤꯅꯥ
লম্বীগুম্বা	ꯂꯝꯕꯤꯒꯨꯝꯕꯥ
লম্বীদগী	ꯂꯝꯕꯤꯗꯒꯤ
লম্বীদা	ꯂꯝꯕꯤꯗꯥ
লম্বীদি	ꯂꯝꯕꯤꯗꯤ
লম্বীদু	ꯂꯝꯕꯤꯗꯨ
লম্বীনচিংবা	ꯂꯝꯕꯤꯅꯆꯤꯡꯕꯥ
লম্বীনা	ꯂꯝꯕꯤꯅꯥ
লম্বীনি	ꯂꯝꯕꯤꯅꯤ
লম্বীবু	ꯂꯝꯕꯤꯕꯨ
লম্বীরোমদা	ꯂꯝꯕꯤꯔꯣꯝꯗꯥ
লম্বীশিং	ꯂꯝꯕꯤꯁꯤꯡ
লম্বীশিংগী	ꯂꯝꯕꯤꯁꯤꯡꯒꯤ
লম্বীশিংদা	ꯂꯝꯕꯤꯁꯤꯡꯗꯥ
লম্বীশিংসু	ꯂꯝꯕꯤꯁꯤꯡꯁꯨ
লম্বীসু	ꯂꯝꯕꯤꯁꯨ
লম্মনদগী	ꯂꯝꯃꯟꯗꯒꯤ
